source,channel,slice,wid,median_intensity
nyquist,HOECHST,38,PB100083_A02,0.021458045
nyquist,HOECHST,39,PB100083_A02,0.020732632
nyquist,HOECHST,40,PB100083_A02,0.020707745
nyquist,HOECHST,41,PB100083_A02,0.020738568
nyquist,HOECHST,42,PB100083_A02,0.021629326
nyquist,HOECHST,43,PB100083_A02,0.020878648
nyquist,HOECHST,0,PB100083_A08,0.041420195
nyquist,HOECHST,1,PB100083_A08,0.042783402
nyquist,HOECHST,2,PB100083_A08,0.043199103
nyquist,HOECHST,3,PB100083_A08,0.043709263
nyquist,HOECHST,4,PB100083_A08,0.044418983
nyquist,HOECHST,5,PB100083_A08,0.04387356
nyquist,HOECHST,6,PB100083_A08,0.044232454
nyquist,HOECHST,7,PB100083_A08,0.043683253
nyquist,HOECHST,8,PB100083_A08,0.044393994
nyquist,HOECHST,9,PB100083_A08,0.044036787
nyquist,HOECHST,10,PB100083_A08,0.044397824
nyquist,HOECHST,11,PB100083_A08,0.044105068
nyquist,HOECHST,12,PB100083_A08,0.043823797
nyquist,HOECHST,13,PB100083_A08,0.043415003
nyquist,HOECHST,14,PB100083_A08,0.041683294
nyquist,HOECHST,15,PB100083_A08,0.040326383
nyquist,HOECHST,16,PB100083_A08,0.03912192
nyquist,HOECHST,17,PB100083_A08,0.039738998
nyquist,HOECHST,18,PB100083_A08,0.038641766
nyquist,HOECHST,19,PB100083_A08,0.037881233
nyquist,HOECHST,20,PB100083_A08,0.03764125
nyquist,HOECHST,21,PB100083_A08,0.03719292
nyquist,HOECHST,22,PB100083_A08,0.037251353
nyquist,HOECHST,23,PB100083_A08,0.036106613
nyquist,HOECHST,24,PB100083_A08,0.035588495
nyquist,HOECHST,25,PB100083_A08,0.034728907
nyquist,HOECHST,26,PB100083_A08,0.03453693
nyquist,HOECHST,27,PB100083_A08,0.03425412
nyquist,HOECHST,28,PB100083_A08,0.03461738
nyquist,HOECHST,29,PB100083_A08,0.03473983
nyquist,HOECHST,30,PB100083_A08,0.034867216
nyquist,HOECHST,31,PB100083_A08,0.034948487
nyquist,HOECHST,32,PB100083_A08,0.03506381
