well,z,channel,focus_laplacian_var,focus_normalized_var
B07,8,MITO,53708.0390625,3241.970294948716
B07,8,PHAandWGA,15294.470703125,758.3524082869227
B07,8,SYTO,6515.1494140625,341.83783036646446
B07,9,CONC,5051.3935546875,181.83014391685006
B07,9,HOECHST,2232.182861328125,58.651605416271885
B07,9,MITO,53639.109375,3194.1063648005143
B07,9,PHAandWGA,15520.41796875,755.2842747805043
B07,9,SYTO,6595.90625,338.39862425140575
B07,10,CONC,5151.7099609375,180.13915192127106
B07,10,HOECHST,2267.5556640625,57.80481099304112
B07,10,MITO,54641.0234375,3142.3803238505684
B07,10,PHAandWGA,15897.0791015625,746.9969350999381
B07,10,SYTO,6714.7822265625,332.263285621793
B07,11,CONC,5239.1982421875,177.52607091902243
B07,11,HOECHST,2288.7080078125,56.76171555903869
B07,11,MITO,55877.7734375,3090.9074723026456
B07,11,PHAandWGA,15983.916015625,732.101801728844
B07,11,SYTO,6790.3779296875,325.09219226031615
B07,12,CONC,5340.078125,174.3790457057003
B07,12,HOECHST,2341.468505859375,55.5494693421106
B07,12,MITO,56793.765625,3009.3990340838145
B07,12,PHAandWGA,16170.9951171875,714.1587543113245
B07,12,SYTO,6952.3349609375,316.8607409941115
B07,13,CONC,5447.27099609375,170.301325525953
B07,13,HOECHST,2365.74072265625,54.13852394480622
B07,13,MITO,57404.6875,2923.9988784923485
B07,13,PHAandWGA,16154.6787109375,691.1785815799643
B07,13,SYTO,6998.87109375,306.5327576041484
B07,14,CONC,5512.0732421875,165.9394122834655
B07,14,HOECHST,2400.630615234375,52.43471848050479
B07,14,MITO,57856.06640625,2833.952856553122
B07,14,PHAandWGA,16167.4619140625,672.6828621216869
B07,14,SYTO,7074.7265625,296.8475861851298
B07,15,CONC,5590.1240234375,161.52716956197852
B07,15,HOECHST,2433.0537109375,50.992162996604286
B07,15,MITO,58289.1796875,2734.1763788914755
B07,15,PHAandWGA,16261.4033203125,652.2591680075273
B07,15,SYTO,7127.5830078125,287.0703746343298
B08,0,CONC,11860.880859375,116.29958051566551
B08,0,HOECHST,7340.01611328125,92.10249227636187
B08,0,MITO,95314.3984375,885.596780897596
B08,0,PHAandWGA,49661.484375,584.3249628594222
