plate,kind,well,z,cell_line,treatment,binary_iou,mean_instance_iou,matched_iou@0.5,precision@0.5,recall@0.5,f1@0.5,TP,FN,FP,n_expert,n_pred,depth_um
PB000139,nuclei,C03,7,HCT116,binimetinib,0.1876063696452366,0.21417214834975662,0.6703541128405274,0.375,0.25,0.3,12,36,20,48,32,35
PB000139,nuclei,C03,9,HCT116,binimetinib,0.14183694075746728,0.13007987818251643,0.6997826605043727,0.14285714285714285,0.1,0.11764705882352941,2,18,12,20,14,45
PB000139,nuclei,C12,1,HT29,SN-38,0.5800976655550262,0.473252299709183,0.8941848117589344,0.6842105263157895,0.48148148148148145,0.5652173913043478,13,14,6,27,19,5
PB000139,nuclei,C12,11,HT29,SN-38,0.21712538226299694,0.2216523877494148,0.8001159942318072,0.4,0.2222222222222222,0.2857142857142857,2,7,3,9,5,55
PB000139,nuclei,C12,3,HT29,SN-38,0.6173109078390873,0.5705578439062103,0.8848327213239537,0.7575757575757576,0.625,0.6849315068493151,25,15,8,40,33,15
PB000139,nuclei,C12,5,HT29,SN-38,0.470112126495521,0.4184019608446809,0.7840540199316325,0.5957446808510638,0.4827586206896552,0.5333333333333333,28,30,19,58,47,25
PB000139,nuclei,C12,7,HT29,SN-38,0.38618083539674064,0.3909298449471524,0.7428215293175912,0.5757575757575758,0.475,0.5205479452054794,19,21,14,40,33,35
PB000139,nuclei,C12,9,HT29,SN-38,0.2779213449771283,0.3030250178395483,0.7062817163082545,0.5,0.35294117647058826,0.41379310344827586,6,11,6,17,12,45
PB000139,nuclei,C14,1,HT29,binimetinib,0.547653340827654,0.5033443875358765,0.7538907130543531,0.6785714285714286,0.6551724137931034,0.6666666666666666,19,10,9,29,28,5
PB000139,nuclei,C14,11,HT29,binimetinib,0.0,0.0,,,0.0,,0,8,0,8,0,55
PB000139,nuclei,C14,3,HT29,binimetinib,0.3371477790082441,0.3104974277614564,0.6388324201530202,0.39285714285714285,0.39285714285714285,0.39285714285714285,11,17,17,28,28,15
PB000139,nuclei,C14,5,HT29,binimetinib,0.3856716520899101,0.39314333610815766,0.6655518881883012,0.5909090909090909,0.5652173913043478,0.5777777777777778,13,10,9,23,22,25
PB000139,nuclei,C14,7,HT29,binimetinib,0.24199288256227758,0.22233325369409135,0.7093721549517561,0.36363636363636365,0.26666666666666666,0.30769230769230765,4,11,7,15,11,35
PB000139,nuclei,C14,9,HT29,binimetinib,0.0,0.0,,,0.0,,0,9,0,9,0,45
PB000139,nuclei,C23,1,HCT116,SN-38,0.6628631586096819,0.6451217693129874,0.7567193929587162,0.7333333333333333,0.7333333333333333,0.7333333333333333,11,4,4,15,15,5
PB000139,nuclei,C23,11,HCT116,SN-38,0.2707046514559435,0.3094748257923724,0.7360626689089481,0.5555555555555556,0.3333333333333333,0.4166666666666667,5,10,4,15,9,55
PB000139,nuclei,C23,3,HCT116,SN-38,0.3696619052891891,0.3970456698818867,0.7148030939655637,0.2916666666666667,0.2916666666666667,0.2916666666666667,7,17,17,24,24,15
PB000139,nuclei,C23,5,HCT116,SN-38,0.30526347564472794,0.30419256658866667,0.6230001768917278,0.3,0.2857142857142857,0.2926829268292683,6,15,14,21,20,25
