well,z,channel,focus_laplacian_var,focus_normalized_var
B06,1,MITO,57633.2734375,5112.056447919191
B06,1,PHAandWGA,13886.8525390625,1000.7435957735531
B06,1,SYTO,6204.4248046875,502.601566917218
B06,2,CONC,4023.02734375,155.81635531189497
B06,2,HOECHST,1792.95263671875,59.0605880756341
B06,2,MITO,59764.91796875,5440.495348113257
B06,2,PHAandWGA,14763.31640625,1086.0675200494202
B06,2,SYTO,6672.080078125,552.1365515877782
B06,3,CONC,4169.42724609375,162.966437480539
B06,3,HOECHST,1851.667724609375,61.57617537558689
B06,3,MITO,60977.6640625,5594.812560013995
B06,3,PHAandWGA,15587.1005859375,1136.0132002614944
B06,3,SYTO,6923.12646484375,571.7469124201158
B06,4,CONC,4241.86474609375,165.01018118339206
B06,4,HOECHST,1893.3486328125,62.08176616110773
B06,4,MITO,62755.796875,5673.9041030909375
B06,4,PHAandWGA,16268.013671875,1165.970709246079
B06,4,SYTO,7130.05712890625,576.7005826194379
B06,5,CONC,4343.46533203125,164.85422651408683
B06,5,HOECHST,1935.10595703125,62.149034975469355
B06,5,MITO,63456.80078125,5710.459069825628
B06,5,PHAandWGA,16614.001953125,1178.297738748964
B06,5,SYTO,7222.5830078125,573.8745804985642
B06,6,CONC,4386.4697265625,162.19883661473588
B06,6,HOECHST,1971.8603515625,61.76845751512522
B06,6,MITO,64674.79296875,5654.613867262233
B06,6,PHAandWGA,16920.4375,1176.514672176527
B06,6,SYTO,7308.4443359375,566.5543539115702
B06,7,CONC,4440.1904296875,158.5957182101482
B06,7,HOECHST,2006.5711669921875,60.79267315025879
B06,7,MITO,65708.6875,5599.625865489169
B06,7,PHAandWGA,17409.267578125,1166.7172011449657
B06,7,SYTO,7360.65869140625,553.6544007328206
B06,8,CONC,4494.89501953125,154.8554820175888
B06,8,HOECHST,2017.9390869140625,58.42961721812776
B06,8,MITO,66823.9609375,5517.7259078977395
B06,8,PHAandWGA,17577.69921875,1156.5576189692408
B06,8,SYTO,7444.1474609375,536.1741117936723
B06,9,CONC,4543.3984375,151.32668029824046
B06,9,HOECHST,2036.9326171875,56.260890542378526
B06,9,MITO,67097.5859375,5392.9992554143555
B06,9,PHAandWGA,17687.59375,1134.079150844279
B06,9,SYTO,7485.40478515625,518.5736936311115
B06,10,CONC,4580.953125,147.1518956747732
B06,10,HOECHST,2047.89892578125,54.17338437807711
B06,10,MITO,68276.9140625,5253.838785205106
B06,10,PHAandWGA,17944.5859375,1102.5486550440048
B06,10,SYTO,7547.3232421875,497.86852315655705
B06,11,CONC,4670.7939453125,142.3123602113748
B06,11,HOECHST,2075.182861328125,52.20155462170059
B06,11,MITO,68686.953125,5065.76554123254
B06,11,PHAandWGA,18253.359375,1066.2953637137166
B06,11,SYTO,7572.3359375,475.7877863945852
B06,12,CONC,4738.7373046875,137.28673389675555
B06,12,HOECHST,2099.56396484375,50.1485932425098
B06,12,MITO,69868.0234375,4869.707706412851
B06,12,PHAandWGA,18208.06640625,1027.3377595887541
B06,12,SYTO,7675.818359375,453.66252403254475
B06,13,CONC,4790.68896484375,132.0245008697004
B06,13,HOECHST,2135.7900390625,48.059685722424774
B06,13,MITO,71363.5234375,4648.532886750758
B06,13,PHAandWGA,18277.033203125,981.2537344803383
B06,13,SYTO,7804.92041015625,429.0547353006706
B06,14,CONC,4898.7314453125,126.62450852374471
B06,14,HOECHST,2162.314208984375,45.70164138999438
B06,14,MITO,72067.6875,4417.660643634185
B06,14,PHAandWGA,18316.751953125,930.8839791023755
B06,14,SYTO,7849.3173828125,404.47745009562044
B06,15,CONC,4980.69189453125,121.09456201101317
B06,15,HOECHST,2189.734375,43.24699596125908
B06,15,MITO,73473.71875,4188.51346971089
B06,15,PHAandWGA,18604.9765625,885.5335065356608
B06,15,SYTO,8029.13525390625,380.07776683567744
B08,0,CONC,6616.7451171875,68.48692963820494
B08,0,HOECHST,5653.3349609375,74.33140248819599
B08,0,MITO,103239.453125,1319.624897754555
B08,0,PHAandWGA,41657.6640625,615.1458455262331
B08,0,SYTO,27303.3515625,470.94932225620005
B08,1,CONC,6971.36279296875,77.60046947402797
B08,1,HOECHST,5897.87158203125,82.81957058078817
B08,1,MITO,105777.75,1432.9645932292167
B08,1,PHAandWGA,43428.71875,672.9861584240223
B08,1,SYTO,29013.80078125,525.5538361774396
B08,2,CONC,7349.513671875,86.05825438711479
B08,2,HOECHST,6183.5517578125,90.81718170202386
B08,2,MITO,108759.03125,1526.045049734853
B08,2,PHAandWGA,45487.5,725.538291203432
B08,2,SYTO,30696.9453125,577.5003301693007
B08,3,CONC,7761.59228515625,92.07231947547162
B08,3,HOECHST,6492.59375,97.58215131152699
B08,3,MITO,112437.140625,1574.3254379389462
B08,3,PHAandWGA,47593.23046875,770.0319275210907
B08,3,SYTO,32910.10546875,617.075063503627
B08,4,CONC,8124.47314453125,95.0935109593864
B08,4,HOECHST,6812.0732421875,101.91345028028076
B08,4,MITO,116475.03125,1595.7801575300575
B08,4,PHAandWGA,49655.40234375,794.7829046431118
B08,4,SYTO,35068.5546875,637.0491379381127
B08,5,CONC,8405.1806640625,96.49957798724017
B08,5,HOECHST,7070.5693359375,104.73619300400348
B08,5,MITO,119884.578125,1593.5748242776954
