;perturbation;group;grit;compound;conc
164;AZD805_930;0.1;0.47673298411317383;AZD805;0.1
165;AZD805_938;0.00833;0.11966125220716209;AZD805;0.00833
166;AZD805_948;0.00833;0.11215448652068319;AZD805;0.00833
167;AZD805_985;10.0;2.802689475753696;AZD805;10.0
168;Abemac_1002;10.0;2.4511594824572063;Abemac;10.0
169;Abemac_1009;0.1;0.5367049363064565;Abemac;0.1
170;Abemac_1024;0.0333;-0.5603093588989188;Abemac;0.0333
171;Abemac_1039;0.00833;-0.5751877459861109;Abemac;0.00833
172;Abemac_1133;0.00833;0.08263419638003633;Abemac;0.00833
173;Abemac_1159;0.0333;0.4376371538089809;Abemac;0.0333
174;Abemac_1160;0.333;0.6588899269833283;Abemac;0.333
175;Abemac_1161;0.333;0.8150571480674328;Abemac;0.333
176;Abemac_1191;1.0;0.80898053994868;Abemac;1.0
177;Abemac_1218;1.0;0.377337727451732;Abemac;1.0
178;Abemac_676;0.0333;0.528653447410765;Abemac;0.0333
179;Abemac_688;10.0;1.9863148517451112;Abemac;10.0
180;Abemac_701;0.1;0.2952887457182324;Abemac;0.1
181;Abemac_705;0.0333;-0.6048131503526639;Abemac;0.0333
182;Abemac_735;0.00833;0.2511304652872472;Abemac;0.00833
183;Abemac_741;0.333;0.7762151949193848;Abemac;0.333
184;Abemac_769;10.0;2.1065454113315054;Abemac;10.0
185;Abemac_806;1.0;0.533874044170024;Abemac;1.0
186;Abemac_832;0.333;0.5082423876257285;Abemac;0.333
187;Abemac_860;0.1;0.6302319319758497;Abemac;0.1
188;Abemac_881;1.0;0.34913069716326556;Abemac;1.0
189;Abemac_916;0.00833;0.2781597271914097;Abemac;0.00833
190;Abemac_926;0.1;-0.4198229377592541;Abemac;0.1
191;Abemac_972;10.0;2.2819283941573567;Abemac;10.0
192;Afatin_142;10.0;2.9141290339403887;Afatin;10.0
193;Afatin_144;1.0;0.8790971765577109;Afatin;1.0
194;Afatin_160;0.00833;0.41388080494170454;Afatin;0.00833
195;Afatin_190;10.0;2.9373394200856597;Afatin;10.0
196;Afatin_21;0.333;0.8375966831500313;Afatin;0.333
197;Afatin_238;1.0;0.5207769430378446;Afatin;1.0
198;Afatin_244;0.0333;0.28507009267601385;Afatin;0.0333
199;Afatin_270;0.0333;0.4603179766541224;Afatin;0.0333
200;Afatin_303;0.333;0.6998057709185073;Afatin;0.333
201;Afatin_315;10.0;2.9885018471437728;Afatin;10.0
202;Afatin_377;0.00833;-0.026653557697670197;Afatin;0.00833
203;Afatin_387;0.1;0.5293099227902069;Afatin;0.1
204;Afatin_417;0.00833;0.31909170890848637;Afatin;0.00833
205;Afatin_418;0.1;0.4865173376312563;Afatin;0.1
206;Afatin_453;0.0333;0.3708210201770682;Afatin;0.0333
207;Afatin_465;1.0;1.065693696030796;Afatin;1.0
208;Afatin_538;0.0333;0.5817152779426095;Afatin;0.0333
209;Afatin_542;0.333;0.728227459348838;Afatin;0.333
210;Afatin_551;10.0;2.8289052467218303;Afatin;10.0
211;Afatin_586;1.0;0.990136504184528;Afatin;1.0
212;Afatin_602;0.333;0.7835247731501813;Afatin;0.333
213;Afatin_63;0.1;0.4717935296937512;Afatin;0.1
214;Afatin_65;0.1;0.36221978617669637;Afatin;0.1
215;Afatin_93;0.00833;-0.08133368109775264;Afatin;0.00833
216;BMS-75_1017;0.333;0.8221915782465435;BMS-75;0.333
217;BMS-75_1030;0.1;0.5235016597852963;BMS-75;0.1
218;BMS-75_1054;10.0;2.4382624672196918;BMS-75;10.0
219;BMS-75_1062;0.0333;0.43358594880563606;BMS-75;0.0333
220;BMS-75_1128;0.00833;0.04736157765410054;BMS-75;0.00833
221;BMS-75_1141;1.0;1.2008822336045861;BMS-75;1.0
222;BMS-75_1177;10.0;2.685679474504186;BMS-75;10.0
223;BMS-75_1187;0.0333;0.3073701874972058;BMS-75;0.0333
224;BMS-75_1210;0.333;0.8339768780111797;BMS-75;0.333
225;BMS-75_1224;0.1;0.4339489477354453;BMS-75;0.1
226;BMS-75_620;10.0;2.659680498150226;BMS-75;10.0
227;BMS-75_652;0.1;0.5169644085726488;BMS-75;0.1
228;BMS-75_661;10.0;2.319112234912783;BMS-75;10.0
229;BMS-75_677;1.0;1.1934627288430883;BMS-75;1.0
230;BMS-75_695;0.00833;0.28306616636557513;BMS-75;0.00833
231;BMS-75_716;0.333;0.851635486038966;BMS-75;0.333
232;BMS-75_800;0.0333;0.27535638022362874;BMS-75;0.0333
233;BMS-75_830;0.0333;0.45630627927803935;BMS-75;0.0333
234;BMS-75_884;0.333;0.8154668561321636;BMS-75;0.333
