EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000181458,TMEM45A,-0.0224775,0.877649,0.920744,0.0245292,protein_coding,5.9199,5.81696,0.801047,0.468946,0.0358609,,,
ENSG00000100227,POLDIP3,0.0130585,0.877692,0.920744,0.0245118,protein_coding,35.2869,35.7175,2.02239,2.72921,0.0358609,,,
ENSG00000137073,UBAP2,0.0226259,0.877882,0.920832,0.0244482,protein_coding,37.6602,37.5797,8.51791,6.23955,0.0358197,,,
ENSG00000011114,BTBD7,-0.0170523,0.877907,0.920832,0.0244249,protein_coding,29.4728,28.6837,4.39947,2.46812,0.0358197,,,
ENSG00000185418,TARS3,-0.0231554,0.87817,0.921038,0.0243189,protein_coding,12.7161,12.1309,1.98258,2.48538,0.0357223,,,
ENSG00000169914,OTUD3,-0.0252624,0.878256,0.921059,0.0242842,protein_coding,8.27939,7.71928,1.82086,1.33411,0.0357124,,,
ENSG00000105808,RASA4,-0.0379986,0.878349,0.921088,0.0242474,protein_coding,2.56288,2.36735,0.59534,0.640156,0.035699,,,
ENSG00000167380,ZNF226,-0.022677,0.878525,0.921202,0.0241764,protein_coding,8.70898,8.80983,1.83824,0.527685,0.035645,,,
ENSG00000126456,IRF3,0.0123534,0.879679,0.922343,0.0237151,protein_coding,34.1319,34.4353,1.49624,2.25316,0.0351074,,,
ENSG00000127084,FGD3,-0.053186,0.880007,0.92261,0.0235874,protein_coding,1.54237,1.45707,0.516163,0.690365,0.0349818,,,
ENSG00000159200,RCAN1,0.0187816,0.880066,0.92261,0.0235617,protein_coding,10.8923,10.7076,1.83823,0.823343,0.0349818,,,
ENSG00000002834,LASP1,-0.0104801,0.880147,0.922622,0.0235293,protein_coding,128.478,127.523,8.08658,4.93344,0.0349762,,,
ENSG00000170185,USP38,-0.0139723,0.880209,0.922622,0.0235048,protein_coding,23.6696,23.7308,2.34886,1.2165,0.0349762,,,
ENSG00000213533,STIMATE,-0.0200735,0.880354,0.922704,0.0234478,protein_coding,7.18207,6.9351,0.849901,0.585653,0.0349377,,,
ENSG00000180881,CAPS2,-0.0298117,0.880649,0.922944,0.0233314,protein_coding,3.22455,3.10328,0.447385,0.621535,0.0348246,,,
ENSG00000169251,NMD3,-0.0106877,0.880937,0.923177,0.0232177,protein_coding,59.1483,58.4874,2.38433,2.95276,0.0347152,,,
ENSG00000129493,HEATR5A,-0.0157023,0.881148,0.923328,0.0231349,protein_coding,16.444,16.0076,1.55536,1.3388,0.034644,,,
ENSG00000266401,ENSG00000266401,-0.0326683,0.881396,0.923518,0.0230383,lncRNA,2.5742,2.49229,0.096312,0.719519,0.0345545,,,
ENSG00000181991,MRPS11,0.0203118,0.881497,0.923555,0.0229979,protein_coding,37.0093,38.0348,7.05331,6.26517,0.0345371,,,
ENSG00000155868,MED7,-0.019369,0.881901,0.923843,0.0228401,protein_coding,12.8862,12.9966,2.25514,1.38714,0.0344019,,,
ENSG00000259802,MARCHF6-DT,0.0362187,0.881904,0.923843,0.0228395,lncRNA,2.75172,2.70636,0.429421,0.985732,0.0344019,,,
ENSG00000167283,ATP5MG,0.0179827,0.881985,0.923858,0.0228076,protein_coding,462.806,469.552,84.8373,60.0584,0.0343949,,,
ENSG00000101126,ADNP,0.0105847,0.882358,0.924179,0.0226625,protein_coding,87.3813,88.0181,4.77452,4.71408,0.0342439,,,
ENSG00000250461,ENSG00000250461,-0.0358699,0.882486,0.924244,0.0226139,transcribed_processed_pseudogene,2.04835,1.82476,0.696508,0.131057,0.0342132,,,
ENSG00000159596,TMEM69,-0.0142848,0.882797,0.9245,0.0224923,protein_coding,35.1827,35.249,3.43829,3.6996,0.034093,,,
ENSG00000175691,ZNF77,0.0300078,0.883339,0.924925,0.0222833,protein_coding,4.34079,4.53144,1.08312,0.916779,0.0338933,,,
ENSG00000112658,SRF,-0.0169522,0.883366,0.924925,0.0222726,protein_coding,17.6332,17.1271,2.40425,1.93827,0.0338933,,,
ENSG00000133657,ATP13A3,0.014183,0.883404,0.924925,0.0222578,protein_coding,68.7622,69.2505,7.01288,8.33663,0.0338933,,,
ENSG00000135736,CCDC102A,0.031813,0.883468,0.924925,0.0222335,protein_coding,3.9271,4.10476,0.446588,1.31048,0.0338933,,,
ENSG00000259522,ENSG00000259522,-0.0134446,0.883598,0.924992,0.0221834,protein_coding,17.0816,16.8148,0.698308,0.875684,0.0338622,,,
ENSG00000154310,TNIK,0.0200713,0.883687,0.925016,0.0221491,protein_coding,29.842,29.8008,5.20746,5.22696,0.0338509,,,
ENSG00000198373,WWP2,-0.0155789,0.883853,0.925119,0.0220857,protein_coding,16.9467,16.5516,1.86772,1.24696,0.0338022,,,
ENSG00000117461,PIK3R3,-0.0436718,0.884014,0.925218,0.022026,protein_coding,1.73342,1.58858,0.521528,0.518449,0.0337557,,,
