Drug1,Drug2,Similarity
Doram,Gefit,0.631827769695129
Doram,Gemci,0.22722196895458008
Doram,Linsi,0.33833862400417347
Doram,MK-22,0.6342202310383184
Doram,Navit,0.5266522604031001
Doram,Nutli,0.346650223129975
Doram,Olapa,0.34495090131841627
Doram,Oxali,-0.020948244759622994
Doram,PD032,0.3064123979776726
Doram,PI-10,0.24715724420521817
Doram,Pacli,-0.041552401665783924
Doram,Palbo,0.5143310172979931
Doram,Rabus,0.30199344555451196
Doram,Regor,0.516619804197585
Doram,Ruxol,0.5310418478131771
Doram,SB216,-0.04007199038762882
Doram,SB505,0.2046180867128807
Doram,SN-38,0.0013169821179639003
Doram,Sapit,-0.17967851661278694
Doram,Soraf,0.6705083507650537
Doram,Tanes,0.4814011205784451
Doram,Tasel,0.011253822575081753
Doram,Trame,0.31204867644576034
Doram,Trici,0.20768307567781263
Doram,Trifl,0.4008832373685078
Doram,Vemur,-0.36122743984539346
Doram,Vinor,-0.09882988819005036
Doram,Vorin,0.5908987434972661
Doram,abema,0.5654501509806531
Encor,Fluor,0.33328848006867695
Encor,Gefit,0.6558497286055582
Encor,Gemci,0.23850152673107816
Encor,Linsi,0.5092171909103115
Encor,MK-22,0.5334163113387373
Encor,Navit,0.5741445035095172
Encor,Nutli,0.39565356727047307
Encor,Olapa,0.2606170608558042
Encor,Oxali,0.4331375545712146
Encor,PD032,0.8011684074124196
Encor,PI-10,0.903284582958395
Encor,Pacli,0.6752816499469552
Encor,Palbo,0.49833288275893695
Encor,Rabus,0.4418914821537191
Encor,Regor,0.8343797424385448
Encor,Ruxol,0.20548115561867775
Encor,SB216,0.6236267828565888
Encor,SB505,0.45287403358101513
Encor,SN-38,0.37199267269873637
Encor,Sapit,0.7431103805585675
Encor,Soraf,0.7515774605062274
Encor,Tanes,0.5765267442109201
Encor,Tasel,0.9184747612745607
Encor,Trame,0.8177392009715925
Encor,Trici,0.01483472767568503
Encor,Trifl,0.3323835416866195
Encor,Vemur,0.8057282778517274
Encor,Vinor,0.5274564037070366
Encor,Vorin,0.5191653376309817
Encor,abema,0.5935339912681481
Fluor,Gefit,-0.04421192723277953
Fluor,Gemci,0.8012874594070478
Fluor,Linsi,0.22099607374791722
Fluor,MK-22,0.41179518489036504
Fluor,Navit,0.054338389372330695
Fluor,Nutli,0.8246980019917867
Fluor,Olapa,0.8856316740564117
Fluor,Oxali,0.6409623581022856
Fluor,PD032,0.3800115809932689
Fluor,PI-10,-0.1467160700219316
Fluor,Pacli,0.3386718330841383
Fluor,Palbo,0.7923222247985685
Fluor,Rabus,0.1925896399819207
Fluor,Regor,-0.1672655683997771
Fluor,Ruxol,0.13400086322608676
Fluor,SB216,-0.10114778558682758
Fluor,SB505,0.46185380225210987
Fluor,SN-38,0.7801850137338637
Fluor,Sapit,-0.35340124508157805
Fluor,Soraf,0.24508047210665562
Fluor,Tanes,0.49517501147418663
Fluor,Tasel,-0.2675099271303893
Fluor,Trame,0.3305155418880594
Fluor,Trici,0.6534918533032197
Fluor,Trifl,0.8199009697729062
Fluor,Vemur,0.23924643169265553
Fluor,Vinor,0.30711443680389366
Fluor,Vorin,0.2918892513889743
Fluor,abema,0.7492672429231754
Gefit,Gemci,-0.009110358262544763
Gefit,Linsi,0.28049428045773755
Gefit,MK-22,0.7626925972467571
Gefit,Navit,0.39484505467474584
Gefit,Nutli,0.10085925649701512
Gefit,Olapa,-0.24870089676258503
Gefit,Oxali,0.26208266773332967
Gefit,PD032,0.6501437512310762
Gefit,PI-10,0.529201113941245
Gefit,Pacli,0.36558064552746566
Gefit,Palbo,0.5160285644193779
Gefit,Rabus,0.5892828857087635
Gefit,Regor,0.7719098645302943
Gefit,Ruxol,0.36979803223127217
Gefit,SB216,0.4841583233430878
Gefit,SB505,0.4128110155239004
Gefit,SN-38,0.2737574880841127
Gefit,Sapit,0.4497627938395544
Gefit,Soraf,0.7492576866749083
Gefit,Tanes,0.4610860051225121
Gefit,Tasel,0.481342870175314
Gefit,Trame,0.6579579539174965
Gefit,Trici,0.017314258927927994
Gefit,Trifl,-0.10717749259670359
Gefit,Vemur,0.21277042824566128
Gefit,Vinor,0.2770724576797772
Gefit,Vorin,0.43579048705917733
Gefit,abema,0.5057460069957321
Gemci,Linsi,0.18251530003585587
Gemci,MK-22,0.18585195799188906
Gemci,Navit,0.018137231439328882
Gemci,Nutli,0.7285372680741115
Gemci,Olapa,0.7830462822739575
Gemci,Oxali,0.6966940052125989
Gemci,PD032,0.48180628767743716
Gemci,PI-10,-0.04744463921348813
Gemci,Pacli,0.4151208461807794
Gemci,Palbo,0.7046832652846983
Gemci,Rabus,0.22079044966487626
Gemci,Regor,-0.01892886580996441
Gemci,Ruxol,0.09957157131519632
Gemci,SB216,0.020769368969519295
Gemci,SB505,0.43955836424217665
Gemci,SN-38,0.8041330272334367
Gemci,Sapit,-0.20906942085702934
Gemci,Soraf,0.2732398332134138
Gemci,Tanes,0.5241271870140678
Gemci,Tasel,-0.0936955964667227
