EnsemblID,gene_name,logFC,PValue,FDR,F,gene_biotype,GroupA_NormCPM,GroupB_NormCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
ENSG00000124209,RAB22A,0.0594906,0.638864,0.889656,0.232399,protein_coding,23.5567,24.3883,1.82302,1.71844,0.0507778,,,
ENSG00000140451,PIF1,-0.087516,0.638963,0.889656,0.232475,protein_coding,15.4878,14.1203,3.93752,1.6541,0.0507778,,,
ENSG00000104613,INTS10,0.0555495,0.638987,0.889656,0.232225,protein_coding,81.4873,84.7503,5.45175,4.89565,0.0507778,,,
ENSG00000111271,ACAD10,0.0875499,0.639335,0.88975,0.231876,protein_coding,10.6914,10.7482,2.91269,1.24896,0.0507321,,,
ENSG00000243479,MNX1-AS1,-0.169062,0.639354,0.88975,0.232013,lncRNA,3.10944,2.83488,1.43297,1.17339,0.0507321,,,
ENSG00000075213,SEMA3A,-0.0861778,0.639468,0.88975,0.23156,protein_coding,7.00337,6.75429,1.65532,0.627839,0.0507321,,,
ENSG00000125166,GOT2,-0.0617192,0.639507,0.88975,0.231499,protein_coding,114.324,109.807,16.4183,3.01018,0.0507321,,,
ENSG00000169976,SF3B5,-0.0988435,0.639551,0.88975,0.231693,protein_coding,387.942,360.884,135.996,23.9264,0.0507321,,,
ENSG00000260001,TGFBR3L,-0.0969882,0.639554,0.88975,0.231691,protein_coding,19.0677,17.1774,5.25457,3.3199,0.0507321,,,
ENSG00000125388,GRK4,0.129195,0.639558,0.88975,0.231602,protein_coding,2.54529,2.82326,0.452782,0.870445,0.0507321,,,
ENSG00000163291,PAQR3,0.0923004,0.639634,0.88975,0.231579,protein_coding,23.1781,25.657,6.94447,2.35337,0.0507321,,,
ENSG00000111269,CREBL2,-0.0815809,0.639741,0.88975,0.231348,protein_coding,17.3625,16.9744,4.60753,0.5631,0.0507321,,,
ENSG00000175895,PLEKHF2,-0.0568386,0.639771,0.88975,0.231132,protein_coding,27.5666,26.6314,2.11251,0.753779,0.0507321,,,
ENSG00000130985,UBA1,0.0839825,0.639789,0.88975,0.231361,protein_coding,145.988,155.526,39.1482,6.95978,0.0507321,,,
ENSG00000048991,R3HDM1,-0.0662802,0.639888,0.88975,0.230968,protein_coding,34.8684,33.2356,5.0498,2.37672,0.0507321,,,
ENSG00000239779,WBP1,0.0704631,0.63999,0.88975,0.230827,protein_coding,12.7635,13.5624,1.53536,1.49353,0.0507321,,,
ENSG00000186298,PPP1CC,-0.0535772,0.640091,0.88975,0.230684,protein_coding,172.437,166.084,11.4042,6.33889,0.0507321,,,
ENSG00000133773,CCDC59,0.0637325,0.640136,0.88975,0.230622,protein_coding,52.0772,54.8105,7.77708,2.49611,0.0507321,,,
ENSG00000089094,KDM2B,0.0826746,0.640218,0.88975,0.23072,protein_coding,20.4722,22.4421,5.37096,1.46894,0.0507321,,,
ENSG00000126749,EMG1,-0.093879,0.640227,0.88975,0.23075,protein_coding,120.383,111.803,36.3571,12.0357,0.0507321,,,
ENSG00000108187,PBLD,0.122827,0.640276,0.88975,0.230456,protein_coding,1.80198,2.15424,0.453627,0.475907,0.0507321,,,
ENSG00000288640,ENSG00000288640,-0.137122,0.640361,0.88975,0.230309,protein_coding,1.46742,1.44282,0.393907,0.404876,0.0507321,,,
ENSG00000062370,ZNF112,-0.122262,0.64043,0.88975,0.230317,protein_coding,2.44961,2.52419,0.87881,0.523512,0.0507321,,,
ENSG00000290994,ENSG00000290994,-0.104702,0.64047,0.88975,0.230417,lncRNA,7.61245,7.5718,2.94619,0.679966,0.0507321,,,
ENSG00000156469,MTERF3,0.0819293,0.640485,0.88975,0.23022,protein_coding,10.9515,12.0193,2.42927,1.39744,0.0507321,,,
ENSG00000101298,SNPH,-0.0979887,0.64053,0.88975,0.230103,protein_coding,3.98923,3.75781,0.560462,0.694366,0.0507321,,,
ENSG00000177542,SLC25A22,0.0528108,0.641028,0.890314,0.229381,protein_coding,80.5648,83.7083,4.56206,2.26174,0.0504568,,,
ENSG00000214274,ANG,-0.0942396,0.641065,0.890314,0.229524,protein_coding,8.50607,8.38595,2.18918,1.59184,0.0504568,,,
ENSG00000116396,KCNC4,-0.0965861,0.641185,0.890344,0.229224,protein_coding,5.01449,4.82582,1.39501,0.536654,0.0504423,,,
ENSG00000138777,PPA2,0.0700495,0.641242,0.890344,0.229152,protein_coding,90.7171,95.9651,16.0145,7.66481,0.0504423,,,
ENSG00000173852,DPY19L1,0.0824714,0.641321,0.890344,0.229228,protein_coding,80.8887,86.6993,20.1574,1.12097,0.0504423,,,
ENSG00000148335,NTMT1,-0.0767389,0.641383,0.890344,0.229053,protein_coding,39.5719,36.727,9.55116,2.09095,0.0504423,,,
ENSG00000258311,ENSG00000258311,-0.0911311,0.641416,0.890344,0.228875,protein_coding,3.54694,3.55168,0.791728,0.294342,0.0504423,,,
ENSG00000310469,HLA-H,0.0747248,0.641472,0.890344,0.228768,lncRNA,11.652,12.7563,2.54798,0.58274,0.0504423,,,
ENSG00000123374,CDK2,0.0699356,0.641546,0.890344,0.228731,protein_coding,91.4513,96.7541,16.9824,5.47983,0.0504423,,,
ENSG00000125740,FOSB,0.154883,0.641644,0.890344,0.228803,protein_coding,4.44689,4.9698,1.35912,1.83815,0.0504423,,,
ENSG00000006712,PAF1,-0.0631087,0.641664,0.890344,0.2285,protein_coding,33.3862,31.6285,4.16756,2.50288,0.0504423,,,
ENSG00000128708,HAT1,0.090629,0.641729,0.890345,0.228662,protein_coding,44.5127,48.4728,12.4451,4.74536,0.0504418,,,
ENSG00000128016,ZFP36,0.12653,0.641838,0.890367,0.22851,protein_coding,33.1258,37.483,13.7862,6.58776,0.0504309,,,
ENSG00000170348,TMED10,0.0716035,0.641873,0.890367,0.228341,protein_coding,228.79,241.25,45.7003,2.91912,0.0504309,,,
ENSG00000143498,TAF1A,-0.0806839,0.64213,0.890635,0.227901,protein_coding,11.5813,10.4532,2.73146,1.03629,0.0503005,,,
ENSG00000082781,ITGB5,0.0588767,0.642286,0.890758,0.227639,protein_coding,58.3227,60.928,3.51942,6.25178,0.0502405,,,
ENSG00000128928,IVD,0.0686575,0.642347,0.890758,0.227571,protein_coding,36.9921,38.0687,7.23366,1.51906,0.0502405,,,
ENSG00000160867,FGFR4,0.057837,0.642456,0.89082,0.227404,protein_coding,62.5031,65.1731,6.1449,3.30118,0.0502102,,,
ENSG00000159176,CSRP1,0.0642515,0.642574,0.890846,0.227242,protein_coding,41.1885,42.4357,6.66158,1.89286,0.0501973,,,
ENSG00000188313,PLSCR1,0.0965203,0.642604,0.890846,0.22745,protein_coding,38.5002,42.1712,10.6877,7.08747,0.0501973,,,
ENSG00000168005,SPINDOC,0.0837661,0.642731,0.890892,0.227274,protein_coding,45.2952,48.9722,11.6303,3.8395,0.0501751,,,
ENSG00000289609,ENSG00000289609,-0.114444,0.642817,0.890892,0.226953,lncRNA,2.84336,2.41155,0.98181,0.242439,0.0501751,,,
ENSG00000124357,NAGK,0.0630812,0.642907,0.890892,0.226782,protein_coding,19.5281,20.2101,1.2586,2.26577,0.0501751,,,
ENSG00000288899,ENSG00000288899,-0.117246,0.642931,0.890892,0.227,lncRNA,21.767,19.4943,6.6094,5.34861,0.0501751,,,
ENSG00000082213,C5orf22,-0.0640773,0.642958,0.890892,0.226712,protein_coding,22.0125,21.364,3.06458,1.4432,0.0501751,,,
ENSG00000101160,CTSZ,0.0607477,0.643089,0.890897,0.226531,protein_coding,57.7148,60.7163,7.46258,2.7441,0.0501724,,,
ENSG00000155542,SETD9,0.115634,0.64309,0.890897,0.226787,protein_coding,6.24182,7.09582,1.96593,1.98482,0.0501724,,,
ENSG00000122218,COPA,-0.0687257,0.643233,0.891006,0.226391,protein_coding,104.992,100.549,18.7784,8.24921,0.0501194,,,
ENSG00000303346,ENSG00000303346,-0.110923,0.643512,0.891248,0.225989,lncRNA,3.51249,2.95153,1.10498,0.494657,0.0500016,,,
ENSG00000241962,ENSG00000241962,-0.0682927,0.643571,0.891248,0.22587,protein_coding,11.1418,10.4239,1.50823,0.641429,0.0500016,,,
ENSG00000107829,FBXW4,0.0640177,0.6436,0.891248,0.225827,protein_coding,43.0586,45.4067,5.45278,4.25997,0.0500016,,,
ENSG00000275023,MLLT6,-0.0733874,0.643753,0.89137,0.225729,protein_coding,59.0751,55.3558,12.8556,3.48329,0.049942,,,
ENSG00000110318,CEP126,-0.169054,0.644041,0.891509,0.225519,protein_coding,2.84854,2.45799,0.767777,1.31654,0.0498744,,,
ENSG00000145740,SLC30A5,-0.061155,0.644122,0.891509,0.225111,protein_coding,49.5026,47.6898,5.32764,4.0561,0.0498744,,,
ENSG00000130775,THEMIS2,0.0823087,0.64413,0.891509,0.225108,protein_coding,6.15884,6.87241,1.34321,0.721691,0.0498744,,,
