cond,z,wid,n_objects
nyquist,7,PB100083_D03,60
nyquist,7,PB100083_E06,30
nyquist,7,PB100083_F01,39
nyquist,7,PB100083_G04,46
nyquist,7,PB100083_H01,63
nyquist,7,PB100083_H07,77
nyquist,10,PB100082_A02,57
nyquist,10,PB100082_A08,55
nyquist,10,PB100082_B05,120
nyquist,10,PB100082_C08,78
nyquist,10,PB100082_D03,88
nyquist,10,PB100082_E06,54
nyquist,10,PB100082_F01,73
nyquist,10,PB100082_G04,56
nyquist,10,PB100082_H01,12
nyquist,10,PB100082_H07,68
nyquist,10,PB100083_A02,15
nyquist,10,PB100083_A08,77
nyquist,10,PB100083_B05,106
nyquist,10,PB100083_C08,105
nyquist,10,PB100083_D03,72
nyquist,10,PB100083_E06,57
nyquist,10,PB100083_F01,43
nyquist,10,PB100083_G04,73
nyquist,10,PB100083_H01,79
nyquist,10,PB100083_H07,91
nyquist,13,PB100082_A02,82
nyquist,13,PB100082_A08,81
nyquist,13,PB100082_B05,140
nyquist,13,PB100082_C08,101
nyquist,13,PB100082_D03,110
nyquist,13,PB100082_E06,73
nyquist,13,PB100082_F01,74
nyquist,13,PB100082_G04,62
nyquist,13,PB100082_H01,14
nyquist,13,PB100082_H07,80
nyquist,13,PB100083_A02,22
nyquist,13,PB100083_A08,81
nyquist,13,PB100083_B05,119
nyquist,13,PB100083_C08,133
nyquist,13,PB100083_D03,85
nyquist,13,PB100083_E06,77
nyquist,13,PB100083_F01,49
nyquist,13,PB100083_G04,95
nyquist,13,PB100083_H01,96
nyquist,13,PB100083_H07,105
nyquist,17,PB100082_A02,92
nyquist,17,PB100082_A08,103
nyquist,17,PB100082_B05,142
nyquist,17,PB100082_C08,120
nyquist,17,PB100082_D03,133
nyquist,17,PB100082_E06,79
nyquist,17,PB100082_F01,101
nyquist,17,PB100082_G04,71
nyquist,17,PB100082_H01,25
nyquist,17,PB100082_H07,96
nyquist,17,PB100083_A02,26
nyquist,17,PB100083_A08,105
nyquist,17,PB100083_B05,126
nyquist,17,PB100083_C08,144
nyquist,17,PB100083_D03,111
nyquist,17,PB100083_E06,77
nyquist,17,PB100083_F01,59
nyquist,17,PB100083_G04,125
nyquist,17,PB100083_H01,107
nyquist,17,PB100083_H07,110
nyquist,20,PB100082_A02,98
nyquist,20,PB100082_A08,115
nyquist,20,PB100082_B05,135
nyquist,20,PB100082_C08,138
nyquist,20,PB100082_D03,125
nyquist,20,PB100082_E06,84
nyquist,20,PB100082_F01,110
nyquist,20,PB100082_G04,70
nyquist,20,PB100082_H01,24
nyquist,20,PB100082_H07,97
nyquist,20,PB100083_A02,18
nyquist,20,PB100083_A08,105
nyquist,20,PB100083_B05,115
nyquist,20,PB100083_C08,127
nyquist,20,PB100083_D03,114
nyquist,20,PB100083_E06,89
nyquist,20,PB100083_F01,71
nyquist,20,PB100083_G04,134
nyquist,20,PB100083_H01,114
nyquist,20,PB100083_H07,99
nyquist,23,PB100082_A02,97
nyquist,23,PB100082_A08,122
nyquist,23,PB100082_B05,154
nyquist,23,PB100082_C08,130
nyquist,23,PB100082_D03,127
nyquist,23,PB100082_E06,83
nyquist,23,PB100082_F01,113
nyquist,23,PB100082_G04,80
nyquist,23,PB100082_H01,29
nyquist,23,PB100082_H07,101
nyquist,23,PB100083_A02,19
nyquist,23,PB100083_A08,116
nyquist,23,PB100083_B05,120
nyquist,23,PB100083_C08,143
nyquist,23,PB100083_D03,123
nyquist,23,PB100083_E06,91
nyquist,23,PB100083_F01,80
nyquist,23,PB100083_G04,133
nyquist,23,PB100083_H01,120
nyquist,23,PB100083_H07,94
nyquist,26,PB100082_A02,103
nyquist,26,PB100082_A08,130
nyquist,26,PB100082_B05,152
nyquist,26,PB100082_C08,132
nyquist,26,PB100082_D03,143
nyquist,26,PB100082_E06,95
nyquist,26,PB100082_F01,111
nyquist,26,PB100082_G04,84
nyquist,26,PB100082_H01,27
nyquist,26,PB100082_H07,96
nyquist,26,PB100083_A02,27
nyquist,26,PB100083_A08,124
