,Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um,total_per_spheroid
261,PB000137_J14,2,HCT116,43.0,51.0,138561,PB000137,J14,10,1549.0
262,PB000139_C21,2,HT29,25.0,30.0,98195,PB000139,C21,10,542.0
263,PB000140_I17,2,HT29,29.0,36.0,106315,PB000140,I17,10,903.0
264,PB000139_G14,2,HT29,55.0,69.0,194041,PB000139,G14,10,1127.0
265,PB000139_K09,2,HCT116,55.0,68.0,182564,PB000139,K09,10,1341.0
266,PB000137_J03,2,HCT116,83.0,95.0,266481,PB000137,J03,10,1619.0
267,PB000142_L18,2,HT29,39.0,51.0,140256,PB000142,L18,10,743.0
268,PB000140_B15,2,HT29,28.0,30.0,89058,PB000140,B15,10,596.0
269,PB000141_K11,2,HT29,47.0,53.0,194131,PB000141,K11,10,1102.0
270,PB000140_H23,2,HT29,48.0,58.0,191192,PB000140,H23,10,1092.0
271,PB000141_N15,2,HT29,32.0,42.0,126886,PB000141,N15,10,1083.0
272,PB000139_B15,2,HT29,26.0,30.5,92850,PB000139,B15,10,897.0
273,PB000142_B22,2,HT29,28.0,33.0,110849,PB000142,B22,10,609.0
274,PB000141_B22,2,HT29,9.0,10.0,29180,PB000141,B22,10,131.0
275,PB000142_F06,2,HT29,44.0,51.0,172378,PB000142,F06,10,915.0
276,PB000142_O09,2,HT29,29.0,33.0,106316,PB000142,O09,10,789.0
277,PB000138_L18,2,HCT116,111.0,140.0,348354,PB000138,L18,10,1728.0
278,PB000141_E16,2,HT29,48.0,60.0,181890,PB000141,E16,10,961.0
279,PB000142_H17,2,HT29,35.0,42.0,127062,PB000142,H17,10,484.0
280,PB000138_O09,2,HCT116,31.0,37.0,100072,PB000138,O09,10,558.0
281,PB000139_C10,2,HCT116,62.0,80.0,183485,PB000139,C10,10,1344.0
282,PB000142_H10,2,HT29,30.0,36.0,102344,PB000142,H10,10,661.0
283,PB000138_B22,2,HCT116,103.0,123.0,299107,PB000138,B22,10,1588.0
284,PB000141_G13,2,HT29,58.0,66.0,202760,PB000141,G13,10,1164.0
285,PB000141_F06,2,HT29,31.0,41.0,132891,PB000141,F06,10,1068.0
286,PB000138_J14,2,HCT116,69.0,76.0,217538,PB000138,J14,10,1641.0
287,PB000140_K09,2,HCT116,90.0,111.0,265289,PB000140,K09,10,1513.0
288,PB000139_H23,2,HT29,16.0,21.0,66600,PB000139,H23,10,333.0
289,PB000142_G13,2,HT29,26.0,28.0,116975,PB000142,G13,10,898.0
290,PB000139_B04,2,HCT116,45.0,53.0,134010,PB000139,B04,10,1173.0
291,PB000139_K20,2,HT29,36.0,45.0,116643,PB000139,K20,10,524.0
292,PB000138_D12,2,HCT116,52.0,72.0,181437,PB000138,D12,10,1785.0
293,PB000138_H17,2,HCT116,54.0,60.0,146442,PB000138,H17,10,522.0
294,PB000142_E16,2,HT29,30.0,39.0,128193,PB000142,E16,10,528.0
295,PB000137_B22,2,HCT116,48.0,60.0,181371,PB000137,B22,10,946.0
296,PB000137_G13,2,HCT116,82.0,116.0,263901,PB000137,G13,10,1660.0
297,PB000142_J03,2,HT29,15.0,17.0,70161,PB000142,J03,10,254.0
298,PB000142_I21,2,HT29,33.0,42.0,113254,PB000142,I21,10,486.0
299,PB000141_O09,2,HT29,57.0,74.0,223824,PB000141,O09,10,1362.0
300,PB000140_G03,2,HCT116,66.0,83.0,219812,PB000140,G03,10,1262.0
301,PB000137_L07,2,HCT116,92.0,107.0,266050,PB000137,L07,10,1401.0
302,PB000141_C05,2,HT29,53.0,70.0,201363,PB000141,C05,10,1062.0
303,PB000137_D12,2,HCT116,90.0,113.0,272537,PB000137,D12,10,1813.0
304,PB000138_H10,2,HCT116,85.0,101.0,249901,PB000138,H10,10,1739.0
