barcode,well,plane,depth_um,seg_type,cell_line,treatment,binary_iou,instance_iou,n_objects,depth_bin
PB000140,D22,1,5,nuclei,HT29,binimetinib,0.5174876926542038,,39,0-20µm
PB000140,J04,11,55,nuclei,HCT116,abemaciclib,0.4692932685760973,,59,40-60µm
PB000141,G02,1,5,nuclei,HT29,DMSO,0.6599326897529005,,47,0-20µm
PB000140,B14,7,35,nuclei,HT29,abemaciclib,0.6942075153131199,,96,20-40µm
PB000140,G19,3,15,cell,HT29,abemaciclib,0.5129133388071957,,21,0-20µm
PB000140,N05,5,25,nuclei,HCT116,DMSO,0.8462118276167349,,173,20-40µm
PB000139,C23,9,45,nuclei,HCT116,SN-38,0.2517818427304711,,13,40-60µm
PB000140,C23,5,25,cell,HCT116,SN-38,0.4477322949518354,,25,20-40µm
PB000139,C14,7,35,cell,HT29,binimetinib,0.13472649852603996,,18,20-40µm
PB000140,J17,9,45,cell,HT29,SN-38,0.6960633745973013,,77,40-60µm
PB000140,J04,9,45,nuclei,HCT116,abemaciclib,0.4455891822279459,,49,40-60µm
PB000139,G08,7,35,cell,HCT116,abemaciclib,0.5262675930687769,,75,20-40µm
PB000140,N05,3,15,cell,HCT116,DMSO,0.7912574045685952,,140,0-20µm
PB000137,D12,5,25,nuclei,HCT116,DMSO,0.8069309518298101,,159,20-40µm
PB000139,C14,3,15,nuclei,HT29,binimetinib,0.3155286818142648,,28,0-20µm
PB000137,F06,5,25,cell,HCT116,DMSO,0.6713298422204642,,131,20-40µm
PB000139,C03,3,15,nuclei,HCT116,binimetinib,0.3429779069282427,,32,0-20µm
PB000140,C23,1,5,nuclei,HCT116,SN-38,0.5007713607594937,,14,0-20µm
PB000140,N05,11,55,cell,HCT116,DMSO,0.34252093616192714,,61,40-60µm
PB000140,B14,1,5,cell,HT29,abemaciclib,0.5559501827636885,,16,0-20µm
PB000140,G08,1,5,cell,HCT116,abemaciclib,0.699711107209551,,11,0-20µm
PB000140,D22,5,25,nuclei,HT29,binimetinib,0.29491119042041586,,33,20-40µm
PB000139,C14,11,55,nuclei,HT29,binimetinib,0.0,,8,40-60µm
PB000139,C03,11,55,nuclei,HCT116,binimetinib,0.0552653748946925,,4,40-60µm
PB000140,J04,5,25,nuclei,HCT116,abemaciclib,0.6037676450251007,,69,20-40µm
PB000139,J06,7,35,nuclei,HCT116,SN-38,0.38767322176274616,,37,20-40µm
PB000141,G02,5,25,nuclei,HT29,DMSO,0.6443604777415852,,92,20-40µm
PB000137,D12,3,15,cell,HCT116,DMSO,0.87038061577466,,130,0-20µm
PB000140,G05,3,15,cell,HCT116,binimetinib,0.5630337301794692,,30,0-20µm
PB000140,J17,3,15,nuclei,HT29,SN-38,0.5963291706520939,,36,0-20µm
PB000140,H23,7,35,cell,HT29,DMSO,0.6598660861293038,,89,20-40µm
PB000140,G19,7,35,cell,HT29,abemaciclib,0.576083479557136,,42,20-40µm
PB000137,F06,1,5,nuclei,HCT116,DMSO,0.7301218536525325,,39,0-20µm
PB000139,C12,1,5,cell,HT29,SN-38,0.7326351931330473,,13,0-20µm
PB000140,D22,3,15,cell,HT29,binimetinib,0.24629902172972037,,23,0-20µm
PB000137,D12,11,55,cell,HCT116,DMSO,0.5876453112439272,,220,40-60µm
PB000140,G05,11,55,cell,HCT116,binimetinib,0.2401074743527113,,13,40-60µm
PB000140,J17,11,55,nuclei,HT29,SN-38,0.5346369630437362,,37,40-60µm
PB000139,C03,9,45,nuclei,HCT116,binimetinib,0.21523711814338528,,20,40-60µm
PB000139,J15,9,45,nuclei,HT29,abemaciclib,0.511438099432814,,45,40-60µm
PB000140,D22,11,55,cell,HT29,binimetinib,0.0,,7,40-60µm
PB000140,G19,3,15,nuclei,HT29,abemaciclib,0.8378534524025685,,24,0-20µm
PB000139,C12,9,45,cell,HT29,SN-38,0.31836316994074165,,17,40-60µm
PB000140,N05,7,35,cell,HCT116,DMSO,0.6595424565986903,,187,20-40µm
PB000137,D12,9,45,cell,HCT116,DMSO,0.6934049112427836,,223,40-60µm
PB000140,G05,9,45,cell,HCT116,binimetinib,0.41666860939503436,,22,40-60µm
PB000140,G19,11,55,nuclei,HT29,abemaciclib,0.7058764493040699,,88,40-60µm
PB000140,J17,9,45,nuclei,HT29,SN-38,0.615055160904432,,51,40-60µm
PB000140,G08,3,15,nuclei,HCT116,abemaciclib,0.7270308201875035,,42,0-20µm
PB000139,D06,7,35,cell,HT29,SN-38,0.5144606874753062,,35,20-40µm
PB000139,C14,7,35,nuclei,HT29,binimetinib,0.23972766681737187,,15,20-40µm
PB000140,G08,5,25,cell,HCT116,abemaciclib,0.5366039747281288,,31,20-40µm
PB000140,C23,5,25,nuclei,HCT116,SN-38,0.44725154856052046,,25,20-40µm
PB000140,D22,9,45,cell,HT29,binimetinib,0.05937309233750033,,12,40-60µm
PB000139,G08,7,35,nuclei,HCT116,abemaciclib,0.6346385620518334,,108,20-40µm
PB000140,G08,11,55,nuclei,HCT116,abemaciclib,0.4962299396685696,,98,40-60µm
PB000140,N05,3,15,nuclei,HCT116,DMSO,0.6843575189206976,,99,0-20µm
PB000139,J15,5,25,nuclei,HT29,abemaciclib,0.7075036543771317,,58,20-40µm
PB000139,C12,5,25,cell,HT29,SN-38,0.5174779146176944,,25,20-40µm
PB000140,C23,3,15,cell,HCT116,SN-38,0.6029591014953312,,26,0-20µm
PB000137,F06,5,25,nuclei,HCT116,DMSO,0.7019505483387964,,140,20-40µm
PB000140,N05,11,55,nuclei,HCT116,DMSO,0.5811586638830898,,242,40-60µm
PB000139,C23,7,35,cell,HCT116,SN-38,0.2915443510534969,,20,20-40µm
PB000140,C23,11,55,cell,HCT116,SN-38,0.1613591458493734,,9,40-60µm
