,Metadata_Site,Location_Center_X_cells,Location_Center_Y_cells
495343,12,607.466,617.95526
495344,12,306.14575,631.6101
495345,12,680.1839,638.43866
495346,12,557.381,631.786
495347,12,464.00797,640.4724
495348,12,734.12317,665.71344
495349,12,509.65097,663.2725
495350,12,785.3839,662.6951
495351,12,574.2009,673.8737
495352,12,640.1672,689.7004
495353,12,320.74,691.332
495354,12,395.00394,705.34143
495355,12,462.78915,700.64856
495356,12,591.28796,724.02924
495357,12,188.48894,720.2234
495358,12,521.39856,723.6023
495359,12,353.80203,735.4139
495360,12,462.7747,747.6229
495361,12,602.3268,760.9298
495362,12,669.58026,768.36316
495363,12,406.3455,771.55774
495364,12,526.8118,773.39
495365,12,263.19333,784.31696
495366,12,359.84616,796.8355
495367,12,456.61658,803.99396
495368,12,330.28165,817.3415
495369,12,532.74005,833.5049
495370,12,587.0715,832.14294
495371,12,472.99002,846.34216
495372,12,392.9362,844.568
