,Metadata_name,Metadata_conc_step,cell_line,MIP,Aggregates,Metadata_pathway
284,Palbo,2.0,HT29,0.3932762446551762,0.8237440070143148,Cell Cycle
285,Phenf,2.0,HT29,-0.0048628937924867,-0.1493446135357003,PI3K/Akt/mTOR
286,Rabus,2.0,HT29,0.4035736622609867,0.5384886070620789,Cell Cycle
287,Regor,2.0,HT29,0.1631477495829291,0.2492106234783111,Protein Tyrosine Kinase
288,Ruxol,2.0,HT29,0.0390661400480823,0.0232749907011892,JAK/STAT
289,SB216,2.0,HT29,0.1438184695214723,0.2728345539703175,PI3K/Akt/mTOR
290,SB505,2.0,HT29,-0.0361484435262566,0.0479552735969002,TGF-beta/Smad
291,SN-38,2.0,HT29,0.5385265447843933,0.7530658647430422,DNA Damage
292,Sapit,2.0,HT29,0.0174214721504965,0.1963834915688945,Protein Tyrosine Kinase
293,Soraf,2.0,HT29,0.1354816110833867,0.1396121149416952,MAPK
294,Tanes,2.0,HT29,0.4401306820938313,0.699793299789291,Cytoskeletal Signaling
295,Tasel,2.0,HT29,0.6651064304042069,0.6705205721555817,PI3K/Akt/mTOR
296,Temoz,2.0,HT29,-0.0538983606019156,-0.0326463216465563,DNA Damage
297,Trame,2.0,HT29,0.114601248384222,0.1468594491701536,MAPK
298,Trici,2.0,HT29,0.0399783624906889,0.1933573366425798,PI3K/Akt/mTOR
299,Trifl,2.0,HT29,0.0607504684473602,0.4130592188676248,DNA Damage
300,Velip,2.0,HT29,0.0185807731154171,0.2789793925067507,DNA Damage
301,Vemur,2.0,HT29,0.4828412098352961,0.6850436655765926,MAPK
302,Vorin,2.0,HT29,0.1392395689763169,0.2891288851592476,Epigenetics
303,abema,2.0,HT29,0.3675737137425889,0.6122892310713381,Cell Cycle
304,5Z-7-,3.0,HT29,0.4229847989236719,0.5910348434902785,MAPK
305,ABT-7,3.0,HT29,-0.110217227318144,-0.032505024808575,Apoptosis
306,AMG23,3.0,HT29,0.0870758861603454,-0.0043175723992461,Apoptosis
307,AZD45,3.0,HT29,0.2173798113918305,0.3120093885527061,Angiogenesis
308,AZD77,3.0,HT29,0.707954323408405,0.7611155704729817,Cell Cycle
309,AZD80,3.0,HT29,0.4861929170289673,0.5026464495958426,PI3K/Akt/mTOR
310,Afati,3.0,HT29,0.3939756137797299,0.5021550076297906,Protein Tyrosine Kinase
311,Alpel,3.0,HT29,0.43617415337133,0.5098600335689024,PI3K/Akt/mTOR
312,BMS-7,3.0,HT29,0.463110524467977,0.5077668088427061,Protein Tyrosine Kinase
313,Binim,3.0,HT29,0.7053592577617823,0.5890169242562133,MAPK
314,Cobim,3.0,HT29,0.6970232607325895,0.8057718353216996,MAPK
315,Crizo,3.0,HT29,0.4819124119419119,0.5125279346872172,Protein Tyrosine Kinase
316,Dabra,3.0,HT29,0.6571554480636514,0.4847918354784955,MAPK
