,cmpd_code,cmpdname,z,channel,mean_laplacian_var,std_laplacian_var,mean_normalized_var,std_normalized_var,n_wells
159,colo-041,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",15,SYTO,5718.843578197338,3414.434530992785,368.6370839717844,135.8479117741725,27
160,colo-044,abemaciclib (LY2835219),0,CONC,4448.733024088541,1027.9915772048198,95.48811973142323,27.84159534917767,30
165,colo-044,abemaciclib (LY2835219),1,CONC,4933.293196614583,1235.1354541303326,134.77123073589905,50.75410489590404,30
170,colo-044,abemaciclib (LY2835219),2,CONC,5423.188623046875,1441.4727924569215,167.36154634369888,66.107575596106,30
175,colo-044,abemaciclib (LY2835219),3,CONC,5796.834781901041,1582.6260986171806,183.05618479948137,69.1144673293239,30
180,colo-044,abemaciclib (LY2835219),4,CONC,6068.196793619792,1677.8155576752,187.38586421078426,66.77639660929005,30
185,colo-044,abemaciclib (LY2835219),5,CONC,6263.356022135416,1743.1073558385585,186.5916593911374,63.59739933092219,30
190,colo-044,abemaciclib (LY2835219),6,CONC,6397.2095133463545,1769.2647655198596,182.27730480909906,58.976672654663226,30
195,colo-044,abemaciclib (LY2835219),7,CONC,6470.003084309896,1766.9630794588065,175.7023792007731,53.689979711776175,30
200,colo-044,abemaciclib (LY2835219),8,CONC,6514.532942708333,1773.0049095816325,168.4468323270133,48.91620769063818,30
205,colo-044,abemaciclib (LY2835219),9,CONC,6535.960034179688,1764.620452484687,161.3601917649898,44.84347322298123,30
210,colo-044,abemaciclib (LY2835219),10,CONC,6535.685441080729,1746.8920027262093,154.18406374477803,40.779187477772176,30
215,colo-044,abemaciclib (LY2835219),11,CONC,6534.086930338542,1721.390837442585,147.04928522368948,36.94651669476768,30
220,colo-044,abemaciclib (LY2835219),12,CONC,6547.200309244791,1702.6281385355412,140.64704190453318,34.2039016738347,30
225,colo-044,abemaciclib (LY2835219),13,CONC,6562.9571533203125,1680.949173808264,134.61067110318922,31.848043296914057,30
230,colo-044,abemaciclib (LY2835219),14,CONC,6595.875325520833,1658.2759865403941,128.9612397473413,29.72948820377305,30
235,colo-044,abemaciclib (LY2835219),15,CONC,6649.850919596354,1654.827487411386,123.26108053517267,27.81456336125562,30
161,colo-044,abemaciclib (LY2835219),0,HOECHST,2024.7550821940104,583.9428425783142,46.794279174293095,19.705730072717003,30
166,colo-044,abemaciclib (LY2835219),1,HOECHST,2215.224430338542,684.0866271859255,66.16137857368851,32.256055584075156,30
171,colo-044,abemaciclib (LY2835219),2,HOECHST,2435.4846354166666,791.0046518234121,85.9382157706534,43.87440306863022,30
176,colo-044,abemaciclib (LY2835219),3,HOECHST,2628.195104980469,872.8131995796581,98.05091150346934,49.455000564156585,30
181,colo-044,abemaciclib (LY2835219),4,HOECHST,2780.5208740234375,940.6488858079989,103.06235906385655,50.8454927448385,30
186,colo-044,abemaciclib (LY2835219),5,HOECHST,2900.641162109375,991.6473503516713,104.22009638247386,50.361520735688245,30
191,colo-044,abemaciclib (LY2835219),6,HOECHST,2992.701590983073,1031.1247877905314,102.97713149706345,48.526291886024275,30
196,colo-044,abemaciclib (LY2835219),7,HOECHST,3056.0598103841144,1057.7028562474652,100.0596975023561,46.66638071504455,30
201,colo-044,abemaciclib (LY2835219),8,HOECHST,3101.510868326823,1072.5090619013417,96.48735435702555,44.41776505046028,30
206,colo-044,abemaciclib (LY2835219),9,HOECHST,3129.1481119791665,1083.7788500390097,92.52304017728895,41.999186959208835,30
211,colo-044,abemaciclib (LY2835219),10,HOECHST,3144.2224934895835,1087.350327555828,88.2946672610103,39.40154116639083,30
216,colo-044,abemaciclib (LY2835219),11,HOECHST,3151.455598958333,1092.3343633418967,84.18271653554535,36.76332041432899,30
221,colo-044,abemaciclib (LY2835219),12,HOECHST,3164.007462565104,1088.4866614240539,80.54442770915271,34.495724508281235,30
226,colo-044,abemaciclib (LY2835219),13,HOECHST,3176.541394042969,1082.3575511377146,76.95623032225151,32.08984274334407,30
231,colo-044,abemaciclib (LY2835219),14,HOECHST,3199.938167317708,1078.0567811638084,73.70907608777324,30.092248893084065,30
236,colo-044,abemaciclib (LY2835219),15,HOECHST,3226.3433919270833,1080.0481257970307,70.58855526533449,28.344779217672762,30
162,colo-044,abemaciclib (LY2835219),0,MITO,62194.50377604167,10662.539426255831,2815.5832828849534,760.7166254033198,30
