Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Ruxol_4.0,0.032566293229316194,Ruxol,4.0,HCT116,replicate
SB216_4.0,0.31944775366543926,SB216,4.0,HCT116,replicate
SB505_4.0,0.16178893368803882,SB505,4.0,HCT116,replicate
SN-38_4.0,0.6461577207377589,SN-38,4.0,HCT116,replicate
Sapit_4.0,-0.029780009771313017,Sapit,4.0,HCT116,replicate
Soraf_4.0,0.5194199559085577,Soraf,4.0,HCT116,replicate
Tanes_4.0,0.419409953979969,Tanes,4.0,HCT116,replicate
Tasel_4.0,0.7218415349314544,Tasel,4.0,HCT116,replicate
Temoz_4.0,-0.09426567579973905,Temoz,4.0,HCT116,replicate
Trame_4.0,0.4137508346570129,Trame,4.0,HCT116,replicate
Trici_4.0,0.11397952830417982,Trici,4.0,HCT116,replicate
Trifl_4.0,0.33364063457662807,Trifl,4.0,HCT116,replicate
Velip_4.0,0.04011879582614286,Velip,4.0,HCT116,replicate
Vemur_4.0,0.08288719309787645,Vemur,4.0,HCT116,replicate
Vinor_4.0,0.6198381947737641,Vinor,4.0,HCT116,replicate
abema_4.0,0.5075452197843724,abema,4.0,HCT116,replicate
5Z-7-_1.0,0.5567168053633385,5Z-7-,1.0,HT29,replicate
ABT-7_1.0,0.11861464139525105,ABT-7,1.0,HT29,replicate
AMG23_1.0,-0.003043035327638682,AMG23,1.0,HT29,replicate
AZD45_1.0,-0.0566861275149544,AZD45,1.0,HT29,replicate
AZD77_1.0,0.3213783738734781,AZD77,1.0,HT29,replicate
AZD80_1.0,0.41171336690564275,AZD80,1.0,HT29,replicate
Adavo_1.0,0.37927210449644455,Adavo,1.0,HT29,replicate
Afati_1.0,0.18141259335382176,Afati,1.0,HT29,replicate
Alpel_1.0,-0.01515025689123594,Alpel,1.0,HT29,replicate
BMS-7_1.0,0.7592632873928031,BMS-7,1.0,HT29,replicate
Binim_1.0,0.7467426014657006,Binim,1.0,HT29,replicate
Borte_1.0,0.08285424342984031,Borte,1.0,HT29,replicate
Cobim_1.0,,Cobim,1.0,HT29,replicate
Crizo_1.0,-0.11808951559783232,Crizo,1.0,HT29,replicate
Dabra_1.0,0.6753223772173242,Dabra,1.0,HT29,replicate
Doram_1.0,0.02724323004187035,Doram,1.0,HT29,replicate
Encor_1.0,0.7118977512341903,Encor,1.0,HT29,replicate
Fluor_1.0,0.036924454609707856,Fluor,1.0,HT29,replicate
Gefit_1.0,0.028932997984470743,Gefit,1.0,HT29,replicate
Gemci_1.0,0.6470677974292469,Gemci,1.0,HT29,replicate
LGK-9_1.0,-0.06611109577204262,LGK-9,1.0,HT29,replicate
Linsi_1.0,0.3345304820961229,Linsi,1.0,HT29,replicate
MK-22_1.0,0.016478910773112282,MK-22,1.0,HT29,replicate
Migli_1.0,0.0548067461443906,Migli,1.0,HT29,replicate
