Metadata_pert_name,corr,Metadata_name,Metadata_conc_step,cell_line,kind
Afati_4.0,0.705339426363029,Afati,4.0,HCT116,replicate
Alpel_4.0,0.5881675602503053,Alpel,4.0,HCT116,replicate
BMS-7_4.0,0.526375065475773,BMS-7,4.0,HCT116,replicate
Binim_4.0,0.6150946556562402,Binim,4.0,HCT116,replicate
Dabra_4.0,0.4320791649532163,Dabra,4.0,HCT116,replicate
Doram_4.0,0.3888851027273115,Doram,4.0,HCT116,replicate
Encor_4.0,0.7405855703581041,Encor,4.0,HCT116,replicate
Fluor_4.0,0.6153431562729258,Fluor,4.0,HCT116,replicate
Gefit_4.0,0.44731535353434315,Gefit,4.0,HCT116,replicate
Gemci_4.0,0.7485902183150186,Gemci,4.0,HCT116,replicate
LGK-9_4.0,-0.1768186357331489,LGK-9,4.0,HCT116,replicate
Linsi_4.0,0.3835774350617963,Linsi,4.0,HCT116,replicate
MK-22_4.0,0.8675535017058971,MK-22,4.0,HCT116,replicate
Migli_4.0,0.2260255079655446,Migli,4.0,HCT116,replicate
Navit_4.0,0.21762467263446594,Navit,4.0,HCT116,replicate
Nutli_4.0,0.5942320950949165,Nutli,4.0,HCT116,replicate
Olapa_4.0,-0.053578099347220784,Olapa,4.0,HCT116,replicate
Oxali_4.0,0.8325317944863719,Oxali,4.0,HCT116,replicate
PD032_4.0,,PD032,4.0,HCT116,replicate
PI-10_4.0,0.21720846631383922,PI-10,4.0,HCT116,replicate
Pacli_4.0,0.7786264700177132,Pacli,4.0,HCT116,replicate
Phenf_4.0,0.05853938220319596,Phenf,4.0,HCT116,replicate
Rabus_4.0,0.28286167395771994,Rabus,4.0,HCT116,replicate
Regor_4.0,0.5558461467681042,Regor,4.0,HCT116,replicate
Ruxol_4.0,-0.013277186489325608,Ruxol,4.0,HCT116,replicate
SB216_4.0,0.10421508752431008,SB216,4.0,HCT116,replicate
SB505_4.0,0.4350692557477164,SB505,4.0,HCT116,replicate
SN-38_4.0,0.7277975337107085,SN-38,4.0,HCT116,replicate
Sapit_4.0,-0.06529886083497201,Sapit,4.0,HCT116,replicate
Soraf_4.0,0.40124018977608034,Soraf,4.0,HCT116,replicate
Tanes_4.0,0.6950441245410708,Tanes,4.0,HCT116,replicate
Tasel_4.0,0.633159968979577,Tasel,4.0,HCT116,replicate
Temoz_4.0,0.36516806625412795,Temoz,4.0,HCT116,replicate
Trame_4.0,0.6367411373618133,Trame,4.0,HCT116,replicate
Trici_4.0,0.18955909006881375,Trici,4.0,HCT116,replicate
Trifl_4.0,0.6256609056171081,Trifl,4.0,HCT116,replicate
Velip_4.0,0.4195150216235647,Velip,4.0,HCT116,replicate
Vemur_4.0,0.19567191799001127,Vemur,4.0,HCT116,replicate
Vinor_4.0,0.8057268392194286,Vinor,4.0,HCT116,replicate
abema_4.0,0.7813956863701659,abema,4.0,HCT116,replicate
5Z-7-_1.0,0.671928343926997,5Z-7-,1.0,HT29,replicate
ABT-7_1.0,-0.016981858593817217,ABT-7,1.0,HT29,replicate
AMG23_1.0,0.14561181652772387,AMG23,1.0,HT29,replicate
AZD45_1.0,0.03435084087665085,AZD45,1.0,HT29,replicate
AZD77_1.0,0.3016159605760184,AZD77,1.0,HT29,replicate
AZD80_1.0,0.6334153151206601,AZD80,1.0,HT29,replicate
Adavo_1.0,0.34019844333118465,Adavo,1.0,HT29,replicate
Afati_1.0,0.6789557518867898,Afati,1.0,HT29,replicate
Alpel_1.0,0.12333204811935969,Alpel,1.0,HT29,replicate
BMS-7_1.0,0.6537062278722489,BMS-7,1.0,HT29,replicate
Binim_1.0,0.6493464678115779,Binim,1.0,HT29,replicate
Borte_1.0,0.029403040587285864,Borte,1.0,HT29,replicate
Cobim_1.0,,Cobim,1.0,HT29,replicate
Crizo_1.0,-0.07861080411668647,Crizo,1.0,HT29,replicate
Dabra_1.0,0.795130397034408,Dabra,1.0,HT29,replicate
Doram_1.0,0.1900461222116976,Doram,1.0,HT29,replicate
Encor_1.0,0.7675176136421051,Encor,1.0,HT29,replicate
Fluor_1.0,0.07979995961719787,Fluor,1.0,HT29,replicate
Gefit_1.0,0.11804108396571175,Gefit,1.0,HT29,replicate
Gemci_1.0,0.8421359386387088,Gemci,1.0,HT29,replicate
LGK-9_1.0,-0.008358098109303921,LGK-9,1.0,HT29,replicate
Linsi_1.0,0.5444374611136381,Linsi,1.0,HT29,replicate
MK-22_1.0,0.3632441590910116,MK-22,1.0,HT29,replicate
