drug_a,drug_b,s2,s3,cls_a,cls_b,pair_class
AMG232 (Navtemadlin),Nutlin-3,0.9521784939602986,0.835064814733599,MDM2 inhibitor,MDM2 inhibitor,Other
AMG232 (Navtemadlin),"Olaparib (AZD2281, Ku-0059436)",0.4512288829382545,0.5178504764629765,MDM2 inhibitor,PARP inhibitor,Other
AMG232 (Navtemadlin),Oxaliplatin,0.7591226332210713,0.391074206161943,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),PD0325901,0.3171175427625259,0.0954377610366914,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),PI-103,0.0554674949682273,-0.1016687031776204,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Paclitaxel,0.3276509617858475,0.1744211317426396,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Palbociclib (PD-0332991) HCl,0.5733879972767403,0.7139212520225979,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Phenformin HCl,0.1381177394968072,0.1254320100271067,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Rabusertib (LY2603618),0.2488044343576235,0.2581577814045044,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Regorafenib (BAY 73-4506),0.0946681382708025,0.1455431625270632,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Ruxolitinib (INCB018424),0.0927021984095011,-0.0063018307587601,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),SB216763,0.436425947502334,0.1415965246314925,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),SB505124,0.2479520454933919,0.3753019918344585,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),SN-38,0.6473467789440452,0.8364870100536833,MDM2 inhibitor,Topo I inhibitor,Other
AMG232 (Navtemadlin),Sapitinib (AZD8931),0.2260818711909616,-0.1730595224353653,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Sorafenib,0.4528615361933865,-0.0788398454717604,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Tanespimycin (17-AAG),0.6629091728662376,0.1726884383174368,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Taselisib (GDC 0032),0.2377365737631734,-0.0836140480621858,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Temozolomide,0.2269537318521635,-0.0633824308702221,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Trametinib (GSK1120212),0.3948392124116049,0.0466508764177822,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Triciribine,0.3955499239126408,0.6374037073144546,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),Veliparib (ABT-888),0.3033666495271204,0.3996726459323144,MDM2 inhibitor,PARP inhibitor,Other
AMG232 (Navtemadlin),"Vemurafenib (PLX4032, RG7204)",0.4746566060899956,-0.0304139830794897,MDM2 inhibitor,MAPK inhibitor,Other
AMG232 (Navtemadlin),Vinorelbine Tartrate,0.3113256077021358,0.5316744989362954,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),"Vorinostat (SAHA, MK0683)",0.3403840285123066,0.5692700911401775,MDM2 inhibitor,Other,Other
AMG232 (Navtemadlin),abemaciclib (LY2835219),0.5491898472853268,0.6592837696153342,MDM2 inhibitor,Other,Other
AZD4547,AZD7762,0.4732653483925542,0.7072762054812246,Other,Other,Other
AZD4547,AZD8055,0.4730979934423212,0.3798639683423436,Other,Other,Other
AZD4547,Adavosertib （MK-1775）,0.5358378781493256,0.5452899370377261,Other,Other,Other
AZD4547,Afatinib (BIBW2992),0.6839394142252452,0.7045409198869776,Other,Other,Other
AZD4547,Alpelisib (BYL719),0.4822833697154322,0.567948943699023,Other,Other,Other
AZD4547,BMS-754807,0.51901567728645,0.4226903072298427,Other,Other,Other
AZD4547,"Binimetinib (MEK162, ARRY-162, ARRY-438162)",0.4999963734995661,0.4685879962943413,Other,MAPK inhibitor,Other
AZD4547,"Cobimetinib (GDC-0973, RG7420)",0.6189823885124311,0.4950687967923972,Other,MAPK inhibitor,Other
AZD4547,Crizotinib (PF-02341066),0.6669862363089504,0.7349124707541955,Other,Other,Other
AZD4547,Dabrafenib (GSK2118436),0.5327976691828405,0.5791970807730243,Other,MAPK inhibitor,Other
AZD4547,Doramapimod (BIRB 796),0.0568744098391635,0.2059327998958812,Other,MAPK inhibitor,Other
AZD4547,Encorafenib (LGX818),0.5731831388480841,0.4702046451012052,Other,MAPK inhibitor,Other
AZD4547,"Fluorouracil (5-Fluoracil, 5-FU)",-0.0222479678713726,0.4168354831059357,Other,Antimetabolite,Other
AZD4547,Gefitinib (ZD1839),0.802479870877375,0.7681606566021304,Other,Other,Other
AZD4547,Gemcitabine,0.0232794244489648,0.5689347826633582,Other,Antimetabolite,Other
AZD4547,LGK-974,0.1249599608491524,-0.1513535188727552,Other,Other,Other
AZD4547,Linsitinib (OSI-906),-0.042136828164514,0.4664868491081389,Other,Other,Other
AZD4547,MK-2206 2HCl,0.6910137909351316,0.3438420717091348,Other,Other,Other
AZD4547,Miglitol,-0.0540856357586282,-0.0729248228177088,Other,Other,Other
AZD4547,Navitoclax (ABT-263),-0.0769632123730912,0.4127106605832,Other,Other,Other
AZD4547,Nutlin-3,0.341047934800768,0.3572554569306198,Other,MDM2 inhibitor,Other
AZD4547,"Olaparib (AZD2281, Ku-0059436)",-0.1328317208725528,0.1465863028234777,Other,PARP inhibitor,Other
AZD4547,Oxaliplatin,0.425463363792497,0.4332662494163232,Other,Other,Other
AZD4547,PD0325901,0.5766293693641306,0.704914669388278,Other,MAPK inhibitor,Other
