,Drug1,Drug2,sim_2D,sim_3D,pair_class
206,Afati,Nutli,0.4422960072028875,0.1948577369993195,Other
207,Afati,Olapa,0.1397109960190922,-0.0673212586515592,Other
208,Afati,Oxali,0.4620183668561848,0.3072987209927019,Other
209,Afati,PD032,0.7773234541326479,0.7442299374507985,Other
210,Afati,PI-10,0.8268218784262942,0.7691015667562136,Other
211,Afati,Pacli,0.6223400253703851,0.6237607755183583,Other
212,Afati,Palbo,0.7403688173213386,0.1938543876284122,Other
213,Afati,Regor,0.7507259019067122,0.7372929108627281,Other
214,Afati,SB505,0.5728209010217364,0.4449618283821781,Other
215,Afati,SN-38,0.5428960210296894,0.599058134218694,Other
216,Afati,Soraf,0.7637678843734235,0.7467186471347107,Other
217,Afati,Tanes,0.7478708462704264,0.6638438515191939,Other
218,Afati,Tasel,0.7215010033116249,0.8397163013373948,Other
219,Afati,Trame,0.7670156807292902,0.6037142855287259,Other
220,Afati,Trifl,0.0950033799096416,0.2879976071541897,Other
221,Afati,Vinor,0.7469062449533783,0.3964209866216103,Other
222,Afati,Vorin,0.7644535436452047,0.3011598214733386,Other
223,Afati,abema,0.7550288454340188,0.5527847807903624,Other
224,Alpel,BMS-7,0.3547028997130949,0.469071093698875,Other
225,Alpel,Binim,0.725793943406825,0.7587924400874446,Other
226,Alpel,Cobim,0.7737946202615044,0.7160541475496138,Other
227,Alpel,Crizo,0.1957153349456558,0.3628832542116815,Other
228,Alpel,Dabra,0.7606838920974827,0.6710538659563737,Other
229,Alpel,Encor,0.8167364102490273,0.767101664431198,Other
230,Alpel,Fluor,-0.3243180121551245,0.2895437813358891,Other
231,Alpel,Gefit,0.418777039782316,0.6423493162906551,Other
232,Alpel,Gemci,-0.1574168023283593,0.1680076407523616,Other
233,Alpel,MK-22,0.3901279663425378,0.4659614094606203,Other
234,Alpel,Nutli,-0.0142345307641219,-0.0255644138765557,Other
235,Alpel,Olapa,-0.2651368251038063,-0.2151214623544394,Other
236,Alpel,Oxali,0.1550425090535943,0.4402479114912449,Other
237,Alpel,PD032,0.6710751966208031,0.7072075881999791,Other
238,Alpel,PI-10,0.8775248392963115,0.7773852929665643,Other
239,Alpel,Pacli,0.4248591220102901,0.4949385464473481,Other
240,Alpel,Palbo,0.284057958984926,-0.0240643661962321,Other
241,Alpel,Regor,0.6615191185630191,0.5907380130782405,Other
242,Alpel,SB505,0.1241538343867956,0.2771980985994086,Other
243,Alpel,SN-38,0.1058695672697366,0.5708748714130438,Other
244,Alpel,Soraf,0.6275033209924328,0.6673440896726892,Other
245,Alpel,Tanes,0.277102683548409,0.5666737927714298,Other
246,Alpel,Tasel,0.9575244595330984,0.8698469465588317,Other
247,Alpel,Trame,0.6462048208933763,0.6720952362429097,Other
248,Alpel,Trifl,-0.2775724158547882,0.011267402778359,Other
249,Alpel,Vinor,0.2922340916618006,0.3608555722624886,Other
250,Alpel,Vorin,0.3393584381692211,0.1975883683334053,Other
251,Alpel,abema,0.3940360027973746,0.2712099275153888,Other
252,BMS-7,Binim,0.6757560059204719,0.4638608158470526,Other
253,BMS-7,Cobim,0.6663727363018519,0.3890588484056807,Other
254,BMS-7,Crizo,0.8711020513354137,0.7139861090616475,Other
255,BMS-7,Dabra,0.5947814929469972,0.5304586693418012,Other
256,BMS-7,Encor,0.5778144677785189,0.4917129274422858,Other
257,BMS-7,Fluor,0.5224644506997905,0.6410547304139621,Other
258,BMS-7,Gefit,0.2855309427690974,0.5694535204504934,Other
259,BMS-7,Gemci,0.5870170158761779,0.728859302589399,Other
260,BMS-7,MK-22,0.4100226244366187,0.198625059130707,Other
261,BMS-7,Nutli,0.6350111708384585,0.6829776024325505,Other
262,BMS-7,Olapa,0.6412320614370304,0.4279627008721273,Other
263,BMS-7,Oxali,0.5863602311467858,0.5216175750694385,Other
264,BMS-7,PD032,0.6351965984784768,0.490178473624433,Other
265,BMS-7,PI-10,0.501067449055692,0.3746154733619691,Other
266,BMS-7,Pacli,0.8151990688456022,0.7573045664483422,Other
267,BMS-7,Palbo,0.6530163034688263,0.572782087810539,Other
268,BMS-7,Regor,0.4049078096108863,0.47077121091559,Other
269,BMS-7,SB505,0.5166309433192751,0.5598833148187221,Other
270,BMS-7,SN-38,0.6191090595971553,0.7882058001506547,Other
271,BMS-7,Soraf,0.5217337908814126,0.575343419150963,Other
272,BMS-7,Tanes,0.5811023702780247,0.5153814943549865,Other
273,BMS-7,Tasel,0.5618993548024211,0.5199148426098148,Other
274,BMS-7,Trame,0.6493166179040403,0.4469607281919084,Other
275,BMS-7,Trifl,0.5243598880707485,0.6777857381280953,Other
276,BMS-7,Vinor,0.7044134663652716,0.5969189949291683,Other
277,BMS-7,Vorin,0.5363000823018707,0.7540687114036241,Other
278,BMS-7,abema,0.6636864878057057,0.6182468027206421,Other
280,Binim,Crizo,0.6249024725998393,0.5800591965788074,Other
283,Binim,Fluor,0.1210655691866294,0.2156222871732188,Other
284,Binim,Gefit,0.6227346970614689,0.7090903215452808,Other
285,Binim,Gemci,0.2940004105417088,0.336014599747778,Other
286,Binim,MK-22,0.484822264814826,0.6498938437779574,Other
287,Binim,Nutli,0.2553252140680253,0.0309789707111758,Other
288,Binim,Olapa,-0.0107011570055282,-0.0345749069296563,Other
289,Binim,Oxali,0.5657610085500554,0.5257602568387085,Other
291,Binim,PI-10,0.7196976387145195,0.6022712490672,Other
292,Binim,Pacli,0.6915674000556031,0.5487141975848016,Other
293,Binim,Palbo,0.5228327302259578,0.165694479083779,Other
295,Binim,SB505,0.6513109380485529,0.2995731308122095,Other
296,Binim,SN-38,0.3467705156861072,0.658226222230557,Other
298,Binim,Tanes,0.7316281550451322,0.7631175143263333,Other
299,Binim,Tasel,0.7878037694855007,0.8327458225636559,Other
301,Binim,Trifl,0.1043304668212841,0.180804773894635,Other
302,Binim,Vinor,0.574904809760002,0.4624007121283368,Other
303,Binim,Vorin,0.479060777376758,0.3172072162451947,Other
304,Binim,abema,0.5785815547898184,0.2910766879019464,Other
305,Cobim,Crizo,0.6312774377521561,0.4676573187541468,Other
308,Cobim,Fluor,0.2970719314366096,0.2562966601527853,Other
309,Cobim,Gefit,0.6511724267538154,0.5544111438717114,Other
310,Cobim,Gemci,0.4417309951696638,0.3130529309438661,Other
311,Cobim,MK-22,0.5565846822078433,0.7218449343932414,Other
312,Cobim,Nutli,0.3874926793627855,0.0515864054069919,Other
313,Cobim,Olapa,0.1372043881604033,-0.2054967545068592,Other
314,Cobim,Oxali,0.6043451244129403,0.525592594430234,Other
316,Cobim,PI-10,0.7152155365105023,0.5223376306309174,Other
317,Cobim,Pacli,0.6260412059101524,0.5590341102698493,Other
318,Cobim,Palbo,0.6691911601176883,0.0356615967343642,Other
320,Cobim,SB505,0.6743429057303815,0.1962460388525174,Other
321,Cobim,SN-38,0.4910499926634492,0.7068956271892284,Other
323,Cobim,Tanes,0.7595735461893403,0.7911408519531641,Other
324,Cobim,Tasel,0.76930305323038,0.8266712877113718,Other
326,Cobim,Trifl,0.3076704863929901,0.1820139330245416,Other
327,Cobim,Vinor,0.5225547286838605,0.4599273987774521,Other
328,Cobim,Vorin,0.5880695731719284,0.2567112513301554,Other
329,Cobim,abema,0.6475195086630408,0.3494993630395148,Other
330,Crizo,Dabra,0.5469267771976166,0.5287019415858749,Other
331,Crizo,Encor,0.530150097150053,0.5099361080740697,Other
332,Crizo,Fluor,0.4443873703247363,0.6071034793283498,Other
333,Crizo,Gefit,0.4521436584641617,0.5290373449043301,Other
334,Crizo,Gemci,0.460782277799067,0.7686056479673595,Other
335,Crizo,MK-22,0.5076075287562135,0.428332904330204,Other
336,Crizo,Nutli,0.5742474730764918,0.6027498198188125,Other
337,Crizo,Olapa,0.5014936157652594,0.4038476908515174,Other
338,Crizo,Oxali,0.4973292298848014,0.3566512161263858,Other
339,Crizo,PD032,0.6613213696027261,0.5806738688344572,Other
340,Crizo,PI-10,0.3755390252957273,0.3021990315784777,Other
341,Crizo,Pacli,0.7577515604214613,0.6552450564744965,Other
342,Crizo,Palbo,0.799607289033223,0.657879694584222,Other
343,Crizo,Regor,0.4003575123073838,0.5909548976363982,Other
344,Crizo,SB505,0.5826906304859012,0.6686420854234859,Other
345,Crizo,SN-38,0.4218921591427499,0.6060419507081134,Other
346,Crizo,Soraf,0.5137069498507291,0.48632815346374,Other
347,Crizo,Tanes,0.6050131038197284,0.6964990697009212,Other
348,Crizo,Tasel,0.3368878235508947,0.4071525594703314,Other
349,Crizo,Trame,0.649006253762611,0.3467117449138699,Other
350,Crizo,Trifl,0.4189290314965256,0.6220111874829118,Other
351,Crizo,Vinor,0.6305631447382174,0.4339256745101514,Other
352,Crizo,Vorin,0.5251695604654012,0.5183083692992441,Other
353,Crizo,abema,0.6063180046363796,0.7029894071254653,Other
355,Dabra,Fluor,0.1441413373389369,0.3468896285850065,Other
356,Dabra,Gefit,0.6683058280413638,0.7641456810306294,Other
357,Dabra,Gemci,0.1992018169251384,0.3389064767592233,Other
358,Dabra,MK-22,0.4439463137309057,0.2861886410411809,Other
359,Dabra,Nutli,0.3893008748223699,0.1010271834355566,Other
360,Dabra,Olapa,0.1993518334820487,0.1872961275454968,Other
361,Dabra,Oxali,0.4069086106319964,0.3404289110227031,Other
363,Dabra,PI-10,0.6732399157993387,0.7680611458187097,Other
364,Dabra,Pacli,0.4139239239792334,0.5679853357529325,Other
365,Dabra,Palbo,0.3901470446251058,0.2762416943357097,Other
367,Dabra,SB505,0.4653790119186751,0.5493892684951318,Other
368,Dabra,SN-38,0.3126136572101704,0.3513849447078525,Other
370,Dabra,Tanes,0.4852722489177359,0.6360218992536146,Other
371,Dabra,Tasel,0.7972231247437632,0.7808135933477154,Other
373,Dabra,Trifl,0.2229258342833783,0.1440550560908283,Other
374,Dabra,Vinor,0.3772081998228456,0.4042726535338017,Other
375,Dabra,Vorin,0.3677030464369381,0.4761289376835672,Other
376,Dabra,abema,0.496590821088291,0.3675733566998876,Other
377,Encor,Fluor,0.3332884800686769,0.2091683023457431,Other
378,Encor,Gefit,0.6558497286055582,0.7377775978559189,Other
379,Encor,Gemci,0.2385015267310781,0.3804602903633517,Other
380,Encor,MK-22,0.5334163113387373,0.6031989261165855,Other
381,Encor,Nutli,0.395653567270473,0.0674290412980966,Other
382,Encor,Olapa,0.2606170608558042,-0.0966146675442974,Other
383,Encor,Oxali,0.4331375545712146,0.4126654338512706,Other
385,Encor,PI-10,0.903284582958395,0.6473532186528521,Other
386,Encor,Pacli,0.6752816499469552,0.4504291702950245,Other
387,Encor,Palbo,0.4983328827589369,0.1965268555228574,Other
389,Encor,SB505,0.4528740335810151,0.4255092451700371,Other
390,Encor,SN-38,0.3719926726987363,0.5306683031579604,Other
