Metadata_PlateWell,Metadata_Site,Metadata_cell_line,ObjectNumber_cytoplasm,ObjectNumber_nuclei,AreaShape_Area_cytoplasm,Metadata_Barcode,Metadata_Well,z_um
PB000137_M23,1,HCT116,38.0,39.0,114812,PB000137,M23,5
PB000142_E16,1,HT29,30.0,38.0,116971,PB000142,E16,5
PB000137_E16,1,HCT116,60.0,74.0,165587,PB000137,E16,5
PB000138_L07,1,HCT116,34.0,39.0,107956,PB000138,L07,5
PB000138_E16,1,HCT116,26.0,26.0,74753,PB000138,E16,5
PB000139_K20,1,HT29,24.0,34.0,81367,PB000139,K20,5
PB000141_O09,1,HT29,39.0,48.5,156032,PB000141,O09,5
PB000137_I21,1,HCT116,47.0,53.0,117718,PB000137,I21,5
PB000142_C05,1,HT29,11.0,17.0,40888,PB000142,C05,5
PB000138_H10,1,HCT116,46.0,53.0,132844,PB000138,H10,5
PB000139_C10,1,HCT116,53.0,60.0,169961,PB000139,C10,5
PB000142_I21,1,HT29,30.0,36.0,102174,PB000142,I21,5
PB000140_K09,1,HCT116,65.0,77.0,179529,PB000140,K09,5
PB000139_O18,1,HT29,34.0,45.0,133446,PB000139,O18,5
PB000138_J03,1,HCT116,62.0,76.0,206296,PB000138,J03,5
PB000138_J14,1,HCT116,44.0,51.0,130063,PB000138,J14,5
PB000139_O07,1,HCT116,55.0,66.0,171947,PB000139,O07,5
PB000141_H10,1,HT29,16.0,20.0,62061,PB000141,H10,5
PB000137_L18,1,HCT116,69.0,79.0,226520,PB000137,L18,5
PB000140_I17,1,HT29,16.0,19.0,55974,PB000140,I17,5
PB000140_G03,1,HCT116,42.0,48.0,145796,PB000140,G03,5
PB000141_N15,1,HT29,18.0,23.0,78878,PB000141,N15,5
PB000137_F20,1,HCT116,49.0,56.0,159162,PB000137,F20,5
PB000140_E13,1,HT29,45.0,55.0,174870,PB000140,E13,5
PB000139_N16,1,HT29,14.0,17.0,71584,PB000139,N16,5
PB000142_L07,1,HT29,40.0,50.0,152956,PB000142,L07,5
PB000140_N16,1,HT29,19.0,20.0,72462,PB000140,N16,5
PB000140_O22,1,HT29,25.0,31.5,91698,PB000140,O22,5
PB000137_K11,1,HCT116,32.0,41.0,108064,PB000137,K11,5
PB000138_G02,1,HCT116,65.0,72.0,194642,PB000138,G02,5
PB000139_C21,1,HT29,13.0,13.0,48336,PB000139,C21,5
PB000141_M23,1,HT29,29.0,37.0,102487,PB000141,M23,5
PB000142_J03,1,HT29,13.0,16.0,58730,PB000142,J03,5
PB000141_D12,1,HT29,15.0,19.0,65485,PB000141,D12,5
PB000142_K11,1,HT29,31.0,35.0,137577,PB000142,K11,5
PB000137_L07,1,HCT116,67.0,74.0,198650,PB000137,L07,5
PB000137_B22,1,HCT116,40.0,47.0,132828,PB000137,B22,5
PB000137_N15,1,HCT116,29.0,34.0,85309,PB000137,N15,5
PB000142_J14,1,HT29,25.0,33.5,100606,PB000142,J14,5
PB000142_G13,1,HT29,18.0,19.0,69251,PB000142,G13,5
PB000137_H10,1,HCT116,38.0,40.0,108611,PB000137,H10,5
PB000138_K11,1,HCT116,18.0,21.0,56496,PB000138,K11,5
PB000139_I17,1,HT29,39.0,44.0,130614,PB000139,I17,5
PB000142_D12,1,HT29,24.0,28.0,100438,PB000142,D12,5
PB000138_I21,1,HCT116,45.0,52.5,146821,PB000138,I21,5
PB000139_O07,2,HCT116,74.0,85.5,223252,PB000139,O07,10
PB000137_F06,2,HCT116,57.0,63.0,164634,PB000137,F06,10
PB000140_N05,2,HCT116,76.0,85.0,262707,PB000140,N05,10
PB000137_E16,2,HCT116,65.0,88.0,188303,PB000137,E16,10
PB000140_I17,2,HT29,29.0,36.0,106315,PB000140,I17,10
PB000139_K20,2,HT29,36.0,45.0,116643,PB000139,K20,10
PB000142_E16,2,HT29,30.0,39.0,128193,PB000142,E16,10
PB000142_M23,2,HT29,22.0,27.0,75463,PB000142,M23,10
PB000138_H10,2,HCT116,85.0,101.0,249901,PB000138,H10,10
PB000141_O09,2,HT29,57.0,74.0,223824,PB000141,O09,10
PB000139_B04,2,HCT116,45.0,53.0,134010,PB000139,B04,10
PB000138_L18,2,HCT116,111.0,140.0,348354,PB000138,L18,10
PB000139_K09,2,HCT116,55.0,68.0,182564,PB000139,K09,10
PB000137_I21,2,HCT116,62.0,69.0,160416,PB000137,I21,10
PB000137_N15,2,HCT116,59.0,61.0,161265,PB000137,N15,10
PB000142_N15,2,HT29,45.0,50.0,168003,PB000142,N15,10
PB000142_I21,2,HT29,33.0,42.0,113254,PB000142,I21,10
PB000139_N05,2,HCT116,44.0,49.0,136485,PB000139,N05,10
PB000142_K11,2,HT29,44.0,48.0,178281,PB000142,K11,10
PB000138_N04,2,HCT116,9.0,14.5,37142,PB000138,N04,10
PB000137_D12,2,HCT116,90.0,113.0,272537,PB000137,D12,10
PB000138_D12,2,HCT116,52.0,72.0,181437,PB000138,D12,10
PB000140_H23,2,HT29,48.0,58.0,191192,PB000140,H23,10
PB000138_B22,2,HCT116,103.0,123.0,299107,PB000138,B22,10
PB000142_J03,2,HT29,15.0,17.0,70161,PB000142,J03,10
PB000140_O22,2,HT29,36.0,44.0,129492,PB000140,O22,10
PB000138_K11,2,HCT116,24.0,29.0,76000,PB000138,K11,10
PB000140_H12,2,HCT116,62.0,72.5,193470,PB000140,H12,10
PB000138_H17,2,HCT116,54.0,60.0,146442,PB000138,H17,10
PB000142_H17,2,HT29,35.0,42.0,127062,PB000142,H17,10
PB000141_D12,2,HT29,27.0,33.5,113240,PB000141,D12,10
PB000137_L07,2,HCT116,92.0,107.0,266050,PB000137,L07,10
PB000137_O09,2,HCT116,79.0,100.0,250487,PB000137,O09,10
PB000139_C21,2,HT29,25.0,30.0,98195,PB000139,C21,10
PB000141_G13,2,HT29,58.0,66.0,202760,PB000141,G13,10
PB000139_B15,2,HT29,26.0,30.5,92850,PB000139,B15,10
PB000138_I21,2,HCT116,70.0,84.0,223613,PB000138,I21,10
PB000138_E16,2,HCT116,39.0,47.0,127701,PB000138,E16,10
PB000141_I21,2,HT29,41.0,49.0,140436,PB000141,I21,10
PB000137_G13,2,HCT116,82.0,116.0,263901,PB000137,G13,10
PB000139_H23,2,HT29,16.0,21.0,66600,PB000139,H23,10
PB000138_M23,2,HCT116,62.0,76.0,204649,PB000138,M23,10
PB000137_J14,2,HCT116,43.0,51.0,138561,PB000137,J14,10
PB000142_L07,2,HT29,52.0,76.0,188082,PB000142,L07,10
PB000139_E13,2,HT29,36.0,45.0,150884,PB000139,E13,10
PB000137_L18,2,HCT116,96.0,117.0,331242,PB000137,L18,10
PB000142_F06,2,HT29,44.0,51.0,172378,PB000142,F06,10
PB000142_H10,2,HT29,30.0,36.0,102344,PB000142,H10,10
PB000139_C10,2,HCT116,62.0,80.0,183485,PB000139,C10,10
PB000140_E13,2,HT29,65.0,73.5,261675,PB000140,E13,10
PB000138_J14,2,HCT116,69.0,76.0,217538,PB000138,J14,10
PB000141_B22,2,HT29,9.0,10.0,29180,PB000141,B22,10
PB000137_B22,2,HCT116,48.0,60.0,181371,PB000137,B22,10
PB000139_I17,2,HT29,58.0,70.0,192738,PB000139,I17,10
PB000140_O18,2,HT29,57.0,65.0,212731,PB000140,O18,10
PB000141_G02,2,HT29,51.0,60.5,213972,PB000141,G02,10
PB000138_J03,2,HCT116,98.0,118.0,318951,PB000138,J03,10
PB000141_H17,2,HT29,41.0,47.0,168325,PB000141,H17,10
PB000140_E02,2,HCT116,83.0,100.0,277876,PB000140,E02,10
PB000142_O09,2,HT29,29.0,33.0,106316,PB000142,O09,10
PB000141_L07,2,HT29,45.0,56.0,156945,PB000141,L07,10
PB000137_J03,2,HCT116,83.0,95.0,266481,PB000137,J03,10
PB000142_J14,2,HT29,37.0,43.0,149582,PB000142,J14,10
PB000140_I06,2,HCT116,76.0,101.0,250100,PB000140,I06,10
PB000138_G13,2,HCT116,58.0,66.0,178789,PB000138,G13,10
PB000140_K20,2,HT29,42.0,56.0,175125,PB000140,K20,10
PB000138_C05,2,HCT116,78.0,90.0,257444,PB000138,C05,10
PB000137_K11,2,HCT116,49.0,61.0,154580,PB000137,K11,10
PB000142_B22,2,HT29,28.0,33.0,110849,PB000142,B22,10
PB000137_M23,2,HCT116,56.0,64.0,194291,PB000137,M23,10
PB000139_G14,2,HT29,55.0,69.0,194041,PB000139,G14,10
PB000142_D12,2,HT29,45.0,48.0,179780,PB000142,D12,10
PB000139_I06,2,HCT116,85.0,100.0,250104,PB000139,I06,10
PB000141_J14,2,HT29,33.0,38.0,108384,PB000141,J14,10
PB000139_O11,2,HCT116,60.0,64.5,180674,PB000139,O11,10
PB000140_G03,2,HCT116,66.0,83.0,219812,PB000140,G03,10
PB000140_O07,2,HCT116,46.0,52.0,162766,PB000140,O07,10
PB000141_E16,2,HT29,48.0,60.0,181890,PB000141,E16,10
PB000138_O09,2,HCT116,31.0,37.0,100072,PB000138,O09,10
PB000141_M23,2,HT29,38.0,44.5,155344,PB000141,M23,10
